concept_id,concept,prompt_id,prompt,question_id,question,attribute_values,local_imagepath,custom_id,answer,reasoning_steps,new_image_path
6,a chair,12,A photo of a chair in Japan,10,Does the chair have arms?,"['yes', 'no', 'None of the above']",gs://subgeodeanon_lim5162/chair_6/12/371.png,6_10_12_371,['yes'],"['The image shows a wooden high chair.', 'The chair has armrests on both sides.']",HSimgs/Japan/a chair_0.png
6,a chair,12,A photo of a chair in Japan,12,How many legs does the chair appear to have?,"['0', '1', '2', '3', '4', '5', 'more than 5', 'None of the above']",gs://subgeodeanon_lim5162/chair_6/12/2165.png,6_12_12_2165,['3'],"['The image shows a wooden high chair.', 'The chair has a wide base with two legs in the front and one in the back.']",HSimgs/Japan/a chair_1.png
6,a chair,12,A photo of a chair in Japan,12,How many legs does the chair appear to have?,"['0', '1', '2', '3', '4', '5', 'more than 5', 'None of the above']",gs://fluxgen162/chair_6/12_a chair in Japan/201.png,6_12_12_201,['4'],"['The chair has four legs, one at each corner of the base.']",HSimgs/Japan/a chair_2.png
6,a chair,12,A photo of a chair in Japan,7,"What material is the upholstery made from (e.g., fabric, leather, vinyl)?","['fabric', 'vinyl', 'leather', 'None of the above']",gs://stabdiff21162/chair_6/12_a chair in Japan/231.png,6_7_12_231,['None of the above'],"['The chair appears to have a solid surface, not a soft one.', 'The seat and back appear to be made of a rigid material, likely wood or plastic that has been painted white.']",HSimgs/Japan/a chair_3.png
12,a stove,26,A photo of a stove in Japan,27,Is the stovetop flat/smooth or does it have raised coils/elements?,"['flat/smooth', 'raised coils/elements', 'None of the above']",gs://stabdiff3m145/stove_12/26_a stove in Japan/23.png,12_27_26_23,['flat/smooth'],"['The image shows a stovetop with a smooth, flat surface.', 'There are no visible raised coils or elements on the stovetop.']",HSimgs/Japan/a stove_0.png
12,a stove,26,A photo of a stove in Japan,20,"What type of stove is depicted (e.g., gas, electric, wood-burning)?","['electric stove', 'induction stove', 'gas stove', 'wood-burning stove', 'None of the above']",gs://fluxgen145/stove_12/26_a stove in Japan/161.png,12_20_26_161,['gas stove'],"['The stovetop has burners with visible grates, indicating it uses an open flame.', 'There are knobs to control the flame, which is typical for a gas stove.']",HSimgs/Japan/a stove_1.png
12,a stove,26,A photo of a stove in Japan,27,Is the stovetop flat/smooth or does it have raised coils/elements?,"['flat/smooth', 'raised coils/elements', 'None of the above']",gs://subgeodeanon_lim5145/stove_12/26/750.png,12_27_26_750,['flat/smooth'],"['The image shows a portable gas stove.', 'The burner area is flat and smooth with a central opening for the flame.', 'There are no raised coils or elements visible.']",HSimgs/Japan/a stove_2.png
12,a stove,26,A photo of a stove in Japan,23,Is there a built-in oven beneath the stovetop?,"['yes', 'no', 'None of the above']",gs://fluxgen145/stove_12/26_a stove in Japan/59.png,12_23_26_59,['yes'],['The image shows a stove with burners on top and two oven doors beneath it.'],HSimgs/Japan/a stove_3.png
27,a car,54,A photo of a car in Japan,52,"What type of wheels does the car have (e.g., spoked, alloy)?","['carbon fiber wheels', 'aluminum wheels', 'steel wheels', 'alloy wheels', 'spoked wheels', 'None of the above']",gs://stabdiff21162/car_27/54_a car in Japan/185.png,27_52_54_185,['steel wheels'],"['The image shows a white car.', 'The wheels of the car appear to be made of a single piece of metal and have a simple design.', 'The wheels do not have spokes or any intricate patterns.', 'The wheels are likely made of steel or a similar material.']",HSimgs/Japan/a car_0.png
27,a car,54,A photo of a car in Japan,54,Does the car have a roof rack or other attachments?,"['yes', 'no', 'None of the above']",gs://stabdiff21162/car_27/54_a car in Japan/167.png,27_54_54_167,['no'],"['The image shows a silver car driving on a street.', 'The car does not have a roof rack or any other attachments.']",HSimgs/Japan/a car_1.png
27,a car,54,A photo of a car in Japan,53,"What type of car is visible (e.g., sedan, coupe, SUV, truck)?","['suv', 'sedan', 'truck', 'coupe', 'convertible', 'hatchback', 'station wagon', 'minivan', 'None of the above']",gs://stabdiff3m162/car_27/54_a car in Japan/89.png,27_53_54_89,['sedan'],"['The car has four doors and a separate trunk compartment.', 'The roofline slopes gently towards the rear, which is a characteristic of a sedan.']",HSimgs/Japan/a car_2.png
27,a car,54,A photo of a car in Japan,51,What is the color of the car?,"['pink', 'gray', 'silver', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'beige', 'orange', 'None of the above']",gs://stabdiff21162/car_27/54_a car in Japan/161.png,27_51_54_161,['silver'],"['The car appears to be a light gray or silver color.', 'Silver is an option in the list of categories.']",HSimgs/Japan/a car_3.png
