concept_id,concept,prompt_id,prompt,question_id,question,attribute_values,local_imagepath,custom_id,answer,reasoning_steps,local_path,new_path
23,a house,121,A photo of a house in South Korea,37,"What type of roof does the house have (e.g., gabled, flat, tiled)?","['Sloped (gabled, hipped, mansard, gambrel, shed, butterfly, bonnet)', 'Flat', 'Dome', 'Pyramid', 'Combination', 'None of these']",gs://stabdiff3m/house_23/121_a house in South Korea/25.png,23_37_121_25,"['hipped', 'gabled', 'combination']","['The roof has a prominent central ridge and sloping sides that meet at an angle, forming a triangular shape.', 'The roof also has horizontal ridges extending outwards from the main structure, creating a layered effect.', 'This combination of elements is characteristic of a hipped roof with gabled features.']",../image-gen/SD3m-gcs/house_23/121_a house in South Korea/25.png,imgs/0.png
23,a house,118,A photo of a house in Philippines,42,Are there any balconies or porches visible?,"['yes', 'no', 'None of the above']",gs://stabdiff3m/house_23/118_a house in Philippines/159.png,23_42_118_159,['yes'],"['The image shows a two-story house with a balcony on the second floor.', 'The balcony has a wooden railing and is accessible from a door on the second floor.']",../image-gen/SD3m-gcs/house_23/118_a house in Philippines/159.png,imgs/1.png
23,a house,36,A photo of a house in Nigeria,35,What type of house is shown?,"['mobile home', 'ranch style house', 'bungalow', 'split-level house', 'farmhouse', 'single-family home', 'mansion', 'victorian house', 'a-frame house', 'colonial house', 'cabin', 'cottage', 'condominium', 'traditional', 'None of the above']",gs://fluxgen/house_23/36_a house in Nigeria/210.png,23_35_36_210,"['single-family home', 'traditional']","['The house is a large, detached dwelling.', 'It features a tiled roof, stucco walls, and arched windows and doorways.', 'The architectural style appears to be Mediterranean or Spanish Colonial Revival.', 'It is a free-standing residential building, suggesting it is not a condominium.', 'The size and features suggest it is a high-value property.']",../image-gen/flux1dev-gcs/house_23/36_a house in Nigeria/210.png,imgs/2.png
23,a house,123,A photo of a house in United States of America,36,"What is the primary material used for the exterior walls of the house (e.g., brick, wood, stucco)?","['Brick', 'Stone', 'Adobe', 'Wood', 'Siding (vinyl siding, fiber cement siding)', 'Concrete (concrete, stucco)', 'Metal', 'None of these']",gs://stabdiff3m/house_23/123_a house in United States of America/32.png,23_36_123_32,['wood'],"['The image shows a white house with a gray roof.', 'The exterior walls appear to have a slightly textured surface with long, narrow horizontal lines, typical of wood siding.', ""The house's overall appearance and construction style are consistent with traditional wood-framed houses.""]",../image-gen/SD3m-gcs/house_23/123_a house in United States of America/32.png,imgs/3.png
23,a house,117,A photo of a house in Egypt,38,How is the area immediately surrounding the house landscaped?,"['garden', 'lawn', 'water feature', 'rocks', 'gravel', 'paved', 'mulch', 'None of the above']",gs://stabdiff21/house_23/117_a house in Egypt/87.png,23_38_117_87,['gravel'],"['The area in front of the house appears to be composed of dirt and some small rocks.', 'There is no clear indication of a garden, lawn, water feature, paved area, or mulch.']",../image-gen/SD-2.1-gcs/house_23/117_a house in Egypt/87.png,imgs/4.png
23,a house,115,A photo of a house in Spain,41,Does the house have a chimney?,"['yes', 'no', 'None of the above']",gs://subgeodeanon_lim5/house_23/115/22.png,23_41_115_22,['yes'],['The image clearly shows a chimney on the roof of the house.'],../regionised_subgeode_lim5/house_23/115/22.png,imgs/5.png
23,a house,119,A photo of a house in Mexico,36,"What is the primary material used for the exterior walls of the house (e.g., brick, wood, stucco)?","['Brick', 'Stone', 'Adobe', 'Wood', 'Siding (vinyl siding, fiber cement siding)', 'Concrete (concrete, stucco)', 'Metal', 'None of these']",gs://stabdiff21/house_23/119_a house in Mexico/196.png,23_36_119_196,['stucco'],"[""The image shows a close-up view of a building's exterior."", 'The walls exhibit a textured, slightly uneven surface characteristic of stucco.', ""The color variations on the wall suggest that it's a painted surface, further supporting the likelihood of stucco.""]",../image-gen/SD-2.1-gcs/house_23/119_a house in Mexico/196.png,imgs/6.png
23,a house,35,A photo of a house in United Kingdom,42,Are there any balconies or porches visible?,"['yes', 'no', 'None of the above']",gs://stabdiff3m/house_23/35_a house in United Kingdom/148.png,23_42_35_148,['yes'],"['The image shows a house with a small porch above the front door.', 'A porch is a covered shelter projecting in front of the entrance of a building.']",../image-gen/SD3m-gcs/house_23/35_a house in United Kingdom/148.png,imgs/7.png
23,a house,121,A photo of a house in South Korea,38,How is the area immediately surrounding the house landscaped?,"['garden', 'lawn', 'water feature', 'rocks', 'gravel', 'paved', 'mulch', 'None of the above']",gs://stabdiff21/house_23/121_a house in South Korea/202.png,23_38_121_202,"['lawn', 'paved']","['The area directly in front of the house features a set of concrete stairs and a small patch of grass.', 'To the side, there is another set of concrete stairs leading to another part of the property.', 'There are some small bushes or trees visible, but no large garden is present.', 'There is no water feature, rocks, gravel, or mulch visible.']",../image-gen/SD-2.1-gcs/house_23/121_a house in South Korea/202.png,imgs/8.png
23,a house,38,A photo of a house in Indonesia,36,"What is the primary material used for the exterior walls of the house (e.g., brick, wood, stucco)?","['Brick', 'Stone', 'Adobe', 'Wood', 'Siding (vinyl siding, fiber cement siding)', 'Concrete (concrete, stucco)', 'Metal', 'None of these']",gs://stabdiff3m/house_23/38_a house in Indonesia/198.png,23_36_38_198,['stucco'],"['The image shows a house with white exterior walls.', 'The walls appear smooth and have a painted finish, which is typical of stucco construction.']",../image-gen/SD3m-gcs/house_23/38_a house in Indonesia/198.png,imgs/9.png
