question,120214022411,image,gemini,5883a935c0c9a10001df6345,61687ebcd2a35ffb762d1928,mohana,all_answers
What type of road or terrain is visible?,['paved road'],imgs/0.png,['paved road'],['paved road'],['paved road'],['paved road'],
"What type of roof does the house have (e.g., gabled, flat, tiled)?","['Sloped (gabled, hipped, mansard, gambrel, shed, butterfly, bonnet)']",imgs/0.png,"['hipped', 'gabled', 'combination']","['Sloped (gabled, hipped, mansard, gambrel, shed, butterfly, bonnet)']",['Flat'],"['Sloped (gabled, hipped, mansard, gambrel, shed, butterfly, bonnet)']","['Sloped (gabled, hipped, mansard, gambrel, shed, butterfly, bonnet)', 'Flat', 'Dome', 'Pyramid', 'Combination', 'None of these']"
Are there any balconies or porches visible?,['yes'],imgs/1.png,['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']"
"Does the imagery suggest a rural, suburban, or urban setting?","['urban', 'suburban']",imgs/1.png,['suburban'],['suburban'],['suburban'],['suburban'],
Is the house single-storey or multi-storey?,['multi-storey'],imgs/2.png,['multi-storey'],['multi-storey'],['multi-storey'],['multi-storey'],"['single-storey', 'multi-storey', 'None of the above']"
"Does the imagery suggest a rural, suburban, or urban setting?","['urban', 'suburban']",imgs/2.png,['suburban'],['suburban'],['urban'],['suburban'],
"What is the primary material used for the exterior walls of the house (e.g., brick, wood, stucco)?","['Wood', 'Siding (vinyl siding, fiber cement siding)']",imgs/3.png,['wood'],['Wood'],"['Siding (vinyl siding, fiber cement siding)']","['Siding (vinyl siding, fiber cement siding)']","['Brick', 'Stone', 'Adobe', 'Wood', 'Siding (vinyl siding, fiber cement siding)', 'Concrete (concrete, stucco)', 'Metal', 'None of these']"
"Does the imagery suggest a rural, suburban, or urban setting?","['suburban', 'urban']",imgs/3.png,['suburban'],['suburban'],['suburban'],['suburban'],
How is the area immediately surrounding the house landscaped?,"['rocks', 'gravel']",imgs/4.png,['gravel'],"['rocks', 'paved']",['gravel'],['None of the above'],"['garden', 'lawn', 'water feature', 'rocks', 'gravel', 'paved', 'mulch', 'None of the above']"
"What natural features, if any, are visible in the background of the image?",['None of the above'],imgs/4.png,['only manmade structures'],['None of the above'],['only manmade structures'],['None of the above'],
Does the house have a chimney?,['yes'],imgs/5.png,['yes'],['yes'],['yes'],['no'],"['yes', 'no', 'None of the above']"
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],imgs/5.png,['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],
"What is the primary material used for the exterior walls of the house (e.g., brick, wood, stucco)?","['Concrete (concrete, stucco)', 'Brick']",imgs/6.png,['stucco'],"['Concrete (concrete, stucco)', 'Stone']","['Concrete (concrete, stucco)']",['Adobe'],"['Brick', 'Stone', 'Adobe', 'Wood', 'Siding (vinyl siding, fiber cement siding)', 'Concrete (concrete, stucco)', 'Metal', 'None of these']"
"What natural features, if any, are visible in the background of the image?",['None of the above'],imgs/6.png,['only manmade structures'],['None of the above'],['only manmade structures'],['None of the above'],
Are there any balconies or porches visible?,['yes'],imgs/7.png,['yes'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']"
"What natural features, if any, are visible in the background of the image?",['trees / forest'],imgs/7.png,['only manmade structures'],['None of the above'],['trees / forest'],['None of the above'],
How is the area immediately surrounding the house landscaped?,"['garden', 'lawn']",imgs/8.png,"['lawn', 'paved']","['garden', 'lawn', 'paved']","['lawn', 'paved']",['paved'],"['garden', 'lawn', 'water feature', 'rocks', 'gravel', 'paved', 'mulch', 'None of the above']"
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],imgs/8.png,['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],
"What is the primary material used for the exterior walls of the house (e.g., brick, wood, stucco)?","['Concrete (concrete, stucco)']",imgs/9.png,['stucco'],"['Brick', 'Concrete (concrete, stucco)']","['Concrete (concrete, stucco)']","['Concrete (concrete, stucco)']","['Brick', 'Stone', 'Adobe', 'Wood', 'Siding (vinyl siding, fiber cement siding)', 'Concrete (concrete, stucco)', 'Metal', 'None of these']"
"What natural features, if any, are visible in the background of the image?",['trees / forest'],imgs/9.png,['trees / forest'],['trees / forest'],['trees / forest'],['trees / forest'],
What type of road or terrain is visible?,['paved road'],imgs/10.png,['paved road'],['paved road'],['paved road'],['paved road'],
Is the storefront part of a larger building or a standalone structure?,['larger building'],imgs/10.png,['larger building'],['larger building'],['larger building'],['standalone structure'],"['larger building', 'standalone structure', 'None of the above']"
Are there any plants near the entrance?,['yes'],imgs/81.png,['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']"
"Does the imagery suggest a rural, suburban, or urban setting?",['urban'],imgs/81.png,['urban'],['urban'],['urban'],['urban'],
What type of road or terrain is visible?,['paved road'],imgs/12.png,['paved road'],['paved road'],['paved road'],['paved road'],
"What type of business does the storefront represent (e.g., restaurant, clothing store, bookstore)?",['grocery store'],imgs/12.png,['grocery store'],['grocery store'],['restaurant'],['grocery store'],"['restaurant', 'clothing store', 'bookstore', 'grocery store', 'pharmacy', 'bank', 'coffee shop', 'bar', 'salon', 'gift shop', 'electronics store', 'furniture store', 'jewelry store', 'art gallery', 'music store', 'sporting goods store', 'hardware store', 'pet store', 'toy store', 'dry cleaner', 'real estate office', 'travel agency', 'movie theater', 'gym', 'hotel', 'None of the above']"
What type of floor or ground is visible?,['tiled floor'],imgs/13.png,['concrete floor'],['tiled floor'],['concrete floor'],"['concrete floor', 'tiled floor']",
