concept_id,concept,prompt_id,prompt,question_id,question,attribute_values,local_imagepath,custom_id,answer,reasoning_steps,new_image_path
12,a stove,24,A photo of a stove in Indonesia,22,How many burners or cooking elements are visible on the stove?,"['0', '1', '2', '3', '4', '5', '6', 'None of the above']",gs://stabdiff3m145/stove_12/24_a stove in Indonesia/88.png,12_22_24_88,['1'],"['The image shows a stove with a single burner underneath a grill.', 'The burner is lit and producing flames and smoke.']",HSimgs/Indonesia/a stove_0.png
12,a stove,24,A photo of a stove in Indonesia,22,How many burners or cooking elements are visible on the stove?,"['0', '1', '2', '3', '4', '5', '6', 'None of the above']",gs://fluxgen145/stove_12/24_a stove in Indonesia/205.png,12_22_24_205,['0'],"['The image shows a wood-burning stove, not a typical cooking stove with burners or elements.', 'There are no burners or cooking elements visible on the stove.']",HSimgs/Indonesia/a stove_1.png
12,a stove,24,A photo of a stove in Indonesia,20,"What type of stove is depicted (e.g., gas, electric, wood-burning)?","['electric stove', 'induction stove', 'gas stove', 'wood-burning stove', 'None of the above']",gs://subgeodeanon_lim5145/stove_12/24/1028.png,12_20_24_1028,['gas stove'],"['The image shows a portable stove with a gas burner and a compartment likely for a small gas canister.', ""The design and features clearly indicate it's designed for portable gas canisters.""]",HSimgs/Indonesia/a stove_2.png
12,a stove,24,A photo of a stove in Indonesia,27,Is the stovetop flat/smooth or does it have raised coils/elements?,"['flat/smooth', 'raised coils/elements', 'None of the above']",gs://stabdiff3m145/stove_12/24_a stove in Indonesia/92.png,12_27_24_92,['flat/smooth'],"['The image shows a stove with a flat metal surface around a central opening where the fuel (charcoal) is placed.', 'There are no raised coils or elements visible on the stovetop.']",HSimgs/Indonesia/a stove_3.png
0,a bag,3,A photo of a bag in Indonesia,1,"What material is the bag made of (e.g., leather, canvas, plastic)?","['canvas', 'wicker', 'faux leather', 'suede', 'nylon', 'straw', 'denim', 'leather', 'paper', 'jute', 'plastic', 'burlap', 'None of the above']",gs://stabdiff3m162/bag_0/3_a bag in Indonesia/174.png,0_1_3_174,"['jute', 'burlap']","['The bag appears to be made of a coarse, woven material.', 'The color and texture suggest a natural fiber.', 'Jute and burlap are known for their coarse weave and natural color similar to the bag in the image.']",HSimgs/Indonesia/a bag_0.png
0,a bag,3,A photo of a bag in Indonesia,1,"What material is the bag made of (e.g., leather, canvas, plastic)?","['canvas', 'wicker', 'faux leather', 'suede', 'nylon', 'straw', 'denim', 'leather', 'paper', 'jute', 'plastic', 'burlap', 'None of the above']",gs://stabdiff21162/bag_0/3_a bag in Indonesia/205.png,0_1_3_205,"['leather', 'canvas', 'nylon', 'plastic']","['The image shows a pile of bags of various colors and textures.', 'Some bags appear to be made of leather, exhibiting a characteristic sheen and texture.', 'Other bags seem to be made of fabric, possibly canvas or nylon, with different patterns and colors.', 'Some bags might be made of plastic, judging by their smooth surface and somewhat rigid shape.']",HSimgs/Indonesia/a bag_1.png
0,a bag,3,A photo of a bag in Indonesia,2,What color is the bag?,"['black', 'white', 'red', 'blue', 'green', 'yellow', 'orange', 'purple', 'pink', 'brown', 'gray', 'beige', 'multicolored', 'None of the above']",gs://stabdiff21162/bag_0/3_a bag in Indonesia/275.png,0_2_3_275,"['beige', 'blue', 'red', 'multicolored']","['The bag appears to be an off-white or light beige color with blue and red stripes.', 'The main body of the bag is a light, creamy color, closer to beige than pure white.']",HSimgs/Indonesia/a bag_2.png
0,a bag,3,A photo of a bag in Indonesia,4,"What is the context in which the bag is shown (e.g., on someone's shoulder, on the ground, in a store display)?","[""in someone's hand"", 'on a conveyor belt', 'packed in a suitcase', 'on the ground', 'on a table or counter', 'in a closet or wardrobe', ""on someone's shoulder"", 'in a store display', 'hanging on a rack or hook', 'None of the above']",gs://fluxgen162/bag_0/3_a bag in Indonesia/113.png,0_4_3_113,['on the ground'],"['The image shows a brown bucket bag with embroidery placed on the ground.', ""The bag is near a person's feet, suggesting it has been placed down."", 'The bag is not being held, displayed, or stored in any other way.']",HSimgs/Indonesia/a bag_3.png
10,a plate of food,17,A photo of a plate of food in Indonesia,15,Are there any recognizable brand-name products on the plate?,"['yes', 'no', 'None of the above']",gs://fluxgen/plate of food_10/17_a plate of food in Indonesia/167.png,10_15_17_167,['no'],"['The image shows a plate of food with several items on it.', 'There are no visible brand names or logos on any of the food items or containers.', 'Therefore, there are no recognizable brand-name products on the plate.']",HSimgs/Indonesia/a plate of food_0.png
10,a plate of food,17,A photo of a plate of food in Indonesia,19,Does the food appear fresh or processed?,"['fresh', 'processed', 'None of the above']",gs://stabdiff21/plate of food_10/17_a plate of food in Indonesia/135.png,10_19_17_135,['fresh'],"['The image shows a variety of food items, including rice, vegetables, fruits, and some cooked dishes.', 'The vegetables and fruits appear to be fresh, with vibrant colors and textures.', 'The cooked dishes also seem to be made with fresh ingredients, and there are no signs of heavy processing.']",HSimgs/Indonesia/a plate of food_1.png
