concept_id,concept,prompt_id,prompt,question_id,question,attribute_values,local_imagepath,custom_id,answer,reasoning_steps,new_image_path
30,a dog,62,A photo of a dog in India,57,What is the dog's coat color?,"['gray', 'black', 'brown', 'blue', 'sable', 'red', 'cream', 'golden', 'white', 'None of the above']",gs://stabdiff21145/dog_30/62_a dog in India/240.png,30_57_62_240,"['black', 'brown', 'white']","[""The dog's coat has patches of black, brown, and white."", 'Black, brown, and white are all valid coat colors.']",HSimgs/India/a dog_0.png
30,a dog,62,A photo of a dog in India,60,"What is the dog's apparent age - puppy, adult, or senior?","['puppy', 'adult', 'senior', 'None of the above']",gs://stabdiff21145/dog_30/62_a dog in India/222.png,30_60_62_222,['adult'],"['The dog in the image appears to be fully grown, with adult features and proportions.', ""Its coat is smooth and well-maintained, and it doesn't show any signs of aging such as graying fur or decreased muscle mass."", ""The dog's posture and alertness also suggest it is not a senior.""]",HSimgs/India/a dog_1.png
30,a dog,62,A photo of a dog in India,57,What is the dog's coat color?,"['gray', 'black', 'brown', 'blue', 'sable', 'red', 'cream', 'golden', 'white', 'None of the above']",gs://stabdiff21145/dog_30/62_a dog in India/71.png,30_57_62_71,"['black', 'white']","[""The dog's coat has patches of black and white color."", 'Therefore, the dog has a black and white coat.']",HSimgs/India/a dog_2.png
30,a dog,62,A photo of a dog in India,58,What is the dog's coat pattern?,"['bicolor', 'spotted', 'harlequin', 'tricolor', 'merle', 'sable', 'roan', 'ticked', 'dappled', 'solid', 'brindle', 'None of the above']",gs://stabdiff3m145/dog_30/62_a dog in India/67.png,30_58_62_67,['bicolor'],"[""The dog's coat has two main colors: light brown and white."", 'The white markings are not small spots or ticks, but larger patches, particularly on the face and chest.', 'This pattern is consistent with a bicolor coat.']",HSimgs/India/a dog_3.png
12,a stove,27,A photo of a stove in India,23,Is there a built-in oven beneath the stovetop?,"['yes', 'no', 'None of the above']",gs://fluxgen145/stove_12/27_a stove in India/77.png,12_23_27_77,['no'],"['The image shows a stovetop with burners and control knobs.', 'There is no oven door or any indication of an oven compartment beneath the stovetop.']",HSimgs/India/a stove_0.png
12,a stove,27,A photo of a stove in India,22,How many burners or cooking elements are visible on the stove?,"['0', '1', '2', '3', '4', '5', '6', 'None of the above']",gs://fluxgen145/stove_12/27_a stove in India/176.png,12_22_27_176,['6'],"['The image shows a stove with multiple burners.', 'Carefully counting the burners reveals there are six burners on top of the stove.']",HSimgs/India/a stove_1.png
12,a stove,27,A photo of a stove in India,26,Is the stove built-in or freestanding?,"['built-in', 'freestanding', 'None of the above']",gs://fluxgen145/stove_12/27_a stove in India/148.png,12_26_27_148,['freestanding'],"['The stove has four legs and is not integrated into the cabinetry or countertop.', 'It can be moved independently.']",HSimgs/India/a stove_2.png
12,a stove,27,A photo of a stove in India,21,"What is the material of the stovetop (e.g., stainless steel, ceramic, cast iron)?","['stainless steel', 'enameled steel', 'glass', 'ceramic', 'cast iron', 'copper', 'None of the above']",gs://stabdiff21145/stove_12/27_a stove in India/179.png,12_21_27_179,['cast iron'],"['The stovetop appears to be made of a dark gray or black metal.', 'The surface shows signs of rust and wear, which is common for cast iron.', 'The thickness and overall shape of the stovetop also suggest cast iron construction.']",HSimgs/India/a stove_3.png
23,a house,41,A photo of a house in India,42,Are there any balconies or porches visible?,"['yes', 'no', 'None of the above']",gs://stabdiff3m/house_23/41_a house in India/174.png,23_42_41_174,['yes'],['The image shows a two-story building with a visible balcony on the second floor and a small porch on the first floor.'],HSimgs/India/a house_0.png
23,a house,41,A photo of a house in India,37,"What type of roof does the house have (e.g., gabled, flat, tiled)?","['gabled', 'hipped', 'mansard', 'gambrel', 'flat', 'shed', 'butterfly', 'bonnet', 'pyramid', 'dome', 'combination', 'None of the above']",gs://stabdiff3m/house_23/41_a house in India/187.png,23_37_41_187,['flat'],"['The image shows a house with a flat roof, which is a horizontal roof with a slight slope for drainage.', 'The roof is not gabled (two sloping sides), hipped (sloping sides from all four directions), mansard (two slopes on each side), gambrel (two slopes on each side, with the lower slope steeper), shed (single slope), butterfly (two slopes that meet in the middle), bonnet (sloping sides with a curved section at the bottom), pyramid (triangular sides meeting at a point), dome (rounded), or a combination of these.']",HSimgs/India/a house_1.png
