concept_id,concept,prompt_id,prompt,question_id,question,attribute_values,local_imagepath,custom_id,answer,reasoning_steps,new_image_path
30,a dog,57,A photo of a dog in Nigeria,57,What is the dog's coat color?,"['gray', 'black', 'brown', 'blue', 'sable', 'red', 'cream', 'golden', 'white', 'None of the above']",gs://stabdiff3m145/dog_30/57_a dog in Nigeria/227.png,30_57_57_227,['black'],"[""The dog's coat appears to be a solid, dark color."", ""Upon closer inspection, the dog's coat is primarily black.""]",HSimgs/Nigeria/a dog_0.png
30,a dog,57,A photo of a dog in Nigeria,59,Is the dog wearing a collar or harness?,"['yes', 'no', 'None of the above']",gs://stabdiff21145/dog_30/57_a dog in Nigeria/132.png,30_59_57_132,['yes'],['The image shows a black dog with an orange collar around its neck.'],HSimgs/Nigeria/a dog_1.png
30,a dog,57,A photo of a dog in Nigeria,62,"What is the dog's posture (standing, sitting, lying down)?","['standing', 'sitting', 'lying down', 'None of the above']",gs://stabdiff3m145/dog_30/57_a dog in Nigeria/190.png,30_62_57_190,['sitting'],"[""The dog's hind legs are bent and its body is close to the ground."", ""The dog's front legs are straight and supporting its upper body.""]",HSimgs/Nigeria/a dog_2.png
30,a dog,57,A photo of a dog in Nigeria,62,"What is the dog's posture (standing, sitting, lying down)?","['standing', 'sitting', 'lying down', 'None of the above']",gs://fluxgen145/dog_30/57_a dog in Nigeria/168.png,30_62_57_168,['sitting'],"['The image shows a dog with its front legs straight and its rear end close to the ground.', ""The dog's posture suggests it is sitting.""]",HSimgs/Nigeria/a dog_3.png
0,a bag,1,A photo of a bag in Nigeria,5,"What is the approximate shape of the bag (e.g., square, rectangular, round)?","['crescent', 'round', 'triangular', 'square', 'rectangular', 'trapezoidal', 'None of the above']",gs://stabdiff3m162/bag_0/1_a bag in Nigeria/16.png,0_5_1_16,['trapezoidal'],"['The bag has a flat bottom and two relatively straight sides that slope slightly outwards as they go up.', 'The top edge of the bag is wider than the bottom edge.']",HSimgs/Nigeria/a bag_0.png
0,a bag,1,A photo of a bag in Nigeria,2,What color is the bag?,"['black', 'white', 'red', 'blue', 'green', 'yellow', 'orange', 'purple', 'pink', 'brown', 'gray', 'beige', 'multicolored', 'None of the above']",gs://stabdiff3m162/bag_0/1_a bag in Nigeria/208.png,0_2_1_208,['yellow'],"['The bag appears to be a shade between yellow and green.', 'The closest option from the provided categories is yellow.']",HSimgs/Nigeria/a bag_1.png
0,a bag,1,A photo of a bag in Nigeria,0,"What type of bag is shown (e.g., handbag, backpack, tote, duffel bag)?","['gym bag', 'duffel bag', 'laptop bag', 'gift bag', 'messenger bag', 'handbag', 'crossbody bag', 'tote bag', 'briefcase', 'clutch', 'drawstring bag', 'plastic bag', 'waist bag', 'backpack', 'paper bag', 'shopping bag', 'travel bag', 'None of the above']",gs://fluxgen162/bag_0/1_a bag in Nigeria/117.png,0_0_1_117,"['messenger bag', 'handbag', 'crossbody bag']","['The bag has a single strap that goes across the body.', 'The bag has a flap that covers the main compartment.', 'The bag is of medium size, suitable for carrying everyday items.', 'The bag is structured and has a professional look.']",HSimgs/Nigeria/a bag_2.png
0,a bag,1,A photo of a bag in Nigeria,2,What color is the bag?,"['black', 'white', 'red', 'blue', 'green', 'yellow', 'orange', 'purple', 'pink', 'brown', 'gray', 'beige', 'multicolored', 'None of the above']",gs://stabdiff3m162/bag_0/1_a bag in Nigeria/224.png,0_2_1_224,"['multicolored', 'green', 'white']","['The bag has a pattern with two colors, white and green.', 'Therefore, the bag is multicolored.']",HSimgs/Nigeria/a bag_3.png
12,a stove,22,A photo of a stove in Nigeria,20,"What type of stove is depicted (e.g., gas, electric, wood-burning)?","['electric stove', 'induction stove', 'gas stove', 'wood-burning stove', 'None of the above']",gs://subgeodeanon_lim5145/stove_12/22/1093.png,12_20_22_1093,['gas stove'],"['The stove has a central burner with holes for gas flow.', 'There is a gas pipe connected to the stove.']",HSimgs/Nigeria/a stove_0.png
12,a stove,22,A photo of a stove in Nigeria,26,Is the stove built-in or freestanding?,"['built-in', 'freestanding', 'None of the above']",gs://fluxgen145/stove_12/22_a stove in Nigeria/167.png,12_26_22_167,['freestanding'],"['The stove has four legs and is not integrated into the surrounding cabinetry or wall.', 'It appears to be a standalone unit that could be moved.']",HSimgs/Nigeria/a stove_1.png
12,a stove,22,A photo of a stove in Nigeria,24,Is there a backsplash or hood visible above the stove?,"['yes', 'no', 'None of the above']",gs://fluxgen145/stove_12/22_a stove in Nigeria/3.png,12_24_22_3,['no'],"['The image shows a stove with a pipe going up from the top.', 'There is no backsplash or hood visible above the stove.']",HSimgs/Nigeria/a stove_2.png
12,a stove,22,A photo of a stove in Nigeria,21,"What is the material of the stovetop (e.g., stainless steel, ceramic, cast iron)?","['stainless steel', 'enameled steel', 'glass', 'ceramic', 'cast iron', 'copper', 'None of the above']",gs://stabdiff3m145/stove_12/22_a stove in Nigeria/174.png,12_21_22_174,['cast iron'],"['The stovetop appears dark gray or black, which is a common color for cast iron.', 'The stovetop has a rough texture, which is also characteristic of cast iron.', 'The stovetop is part of an older-style stove, and cast iron was a common material for stovetops in the past.']",HSimgs/Nigeria/a stove_3.png
27,a car,50,A photo of a car in Nigeria,52,"What type of wheels does the car have (e.g., spoked, alloy)?","['carbon fiber wheels', 'aluminum wheels', 'steel wheels', 'alloy wheels', 'spoked wheels', 'None of the above']",gs://stabdiff3m162/car_27/50_a car in Nigeria/34.png,27_52_50_34,['alloy wheels'],"['The image shows the front of a black car.', 'The wheels have a distinct pattern with multiple spokes and a metallic sheen.', 'Alloy wheels are made from a mixture of metals and often have intricate designs.', 'Steel wheels are typically simpler in design and made of steel.', 'Aluminum wheels are a type of alloy wheel but are specifically made from aluminum alloys.', 'Spoked wheels have a design with spokes radiating from the center.', 'Carbon fiber wheels are made from carbon fiber and are known for their lightweight and high-performance characteristics.']",HSimgs/Nigeria/a car_0.png
27,a car,50,A photo of a car in Nigeria,55,Are there any people visible in the car?,"['yes', 'no', 'None of the above']",gs://fluxgen162/car_27/50_a car in Nigeria/73.png,27_55_50_73,['no'],"['The image shows a car parked in a lot.', 'There are no visible people inside the car.']",HSimgs/Nigeria/a car_1.png
27,a car,50,A photo of a car in Nigeria,51,What is the color of the car?,"['pink', 'gray', 'silver', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'beige', 'orange', 'None of the above']",gs://subgeodeanon_lim5162/car_27/50/1217.png,27_51_50_1217,['brown'],"['The car appears to be a dark shade between brown and purple.', ""Upon closer inspection, the car's color is closest to brown.""]",HSimgs/Nigeria/a car_2.png
27,a car,50,A photo of a car in Nigeria,54,Does the car have a roof rack or other attachments?,"['yes', 'no', 'None of the above']",gs://fluxgen162/car_27/50_a car in Nigeria/189.png,27_54_50_189,['no'],"['The image shows a Chevrolet Camaro.', 'The car does not have a roof rack or any other attachments.']",HSimgs/Nigeria/a car_3.png
24,a backyard,43,A photo of a backyard in Nigeria,47,"Are there any signs of children's play equipment (e.g., swing set, sandbox)?","['yes', 'no', 'None of the above']",gs://subgeodeanon_lim5145/backyard_24/43/1021.png,24_47_43_1021,['no'],"[""The image shows a backyard area with some construction materials, grass, and a well.  There are no visible signs of children's play equipment like swings or sandboxes.""]",HSimgs/Nigeria/a backyard_0.png
24,a backyard,43,A photo of a backyard in Nigeria,44,Are there any trees or large bushes present?,"['yes', 'no', 'None of the above']",gs://fluxgen145/backyard_24/43_a backyard in Nigeria/123.png,24_44_43_123,['yes'],['The image shows several palm trees and other large bushes/plants around the house and along the edge of the water feature.'],HSimgs/Nigeria/a backyard_1.png
24,a backyard,43,A photo of a backyard in Nigeria,49,"Does the backyard include a swimming pool, hot tub, or other water feature?","['yes', 'no', 'None of the above']",gs://subgeodeanon_lim5145/backyard_24/43/819.png,24_49_43_819,['no'],"['The image shows a backyard with a concrete floor and some plants, but no swimming pool, hot tub, or other water feature.']",HSimgs/Nigeria/a backyard_2.png
24,a backyard,43,A photo of a backyard in Nigeria,46,"Is there a patio, deck, or other designated seating area?","['yes', 'no', 'None of the above']",gs://stabdiff3m145/backyard_24/43_a backyard in Nigeria/97.png,24_46_43_97,['yes'],"['The image shows a large paved area, which could be used as a patio or seating area.', 'There is no furniture or other indication that it is currently being used as such, but it could be.']",HSimgs/Nigeria/a backyard_3.png
13,a cooking pot,29,A photo of a cooking pot in Nigeria,29,"What is the shape of the cooking pot (e.g., round, oval, rectangular)?","['square', 'oval', 'round', 'rectangular', 'None of the above']",gs://fluxgen/cooking pot_13/29_a cooking pot in Nigeria/208.png,13_29_29_208,['round'],"['The cooking pot has a circular opening.', 'The base of the pot also appears circular.', 'The sides of the pot curve smoothly, connecting the circular opening and base.']",HSimgs/Nigeria/a cooking pot_0.png
13,a cooking pot,29,A photo of a cooking pot in Nigeria,28,"What material is the cooking pot made of (e.g., metal, ceramic, clay)?","['stainless steel', 'ceramic', 'glass', 'cast iron', 'copper', 'aluminum', 'clay', 'None of the above']",gs://fluxgen/cooking pot_13/29_a cooking pot in Nigeria/120.png,13_28_29_120,['copper'],"[""The pot has a dark, burnished appearance, suggesting it's made of metal."", 'The color is similar to copper or bronze.', 'The pot appears to have some weight to it, ruling out aluminum or thin stainless steel.', ""The pot is sitting directly on the ground, exposed to heat, which suggests it's a material that can withstand such conditions.""]",HSimgs/Nigeria/a cooking pot_1.png
13,a cooking pot,29,A photo of a cooking pot in Nigeria,28,"What material is the cooking pot made of (e.g., metal, ceramic, clay)?","['stainless steel', 'ceramic', 'glass', 'cast iron', 'copper', 'aluminum', 'clay', 'None of the above']",gs://subgeodeanon_lim5/cooking pot_13/29/506.png,13_28_29_506,['aluminum'],"['The cooking pot appears to be metallic in nature, with a dull gray finish.', ""The pot's appearance and likely weight suggest it is made of a common metal used for cookware."", ""Aluminum is a lightweight, affordable, and commonly used metal for cooking pots, and the pot's appearance is consistent with aluminum cookware.""]",HSimgs/Nigeria/a cooking pot_2.png
13,a cooking pot,29,A photo of a cooking pot in Nigeria,29,"What is the shape of the cooking pot (e.g., round, oval, rectangular)?","['square', 'oval', 'round', 'rectangular', 'None of the above']",gs://fluxgen/cooking pot_13/29_a cooking pot in Nigeria/151.png,13_29_29_151,['round'],"['The cooking pot has a circular base and a circular lid.', 'The sides of the pot curve upwards from the base.', 'This shape is consistent with a round object.']",HSimgs/Nigeria/a cooking pot_3.png
6,a chair,8,A photo of a chair in Nigeria,12,How many legs does the chair appear to have?,"['0', '1', '2', '3', '4', '5', 'more than 5', 'None of the above']",gs://stabdiff21162/chair_6/8_a chair in Nigeria/127.png,6_12_8_127,['4'],"['The image shows a chair with four legs.', 'The chair is slightly tilted, but all four legs are visible.']",HSimgs/Nigeria/a chair_0.png
6,a chair,8,A photo of a chair in Nigeria,9,"What function does the chair appear to be designed for (e.g., dining, office work, lounging)?","['office work', 'reclining', 'rocking', 'gaming', 'dining', 'waiting room seating', 'lounging', 'None of the above']",gs://subgeodeanon_lim5162/chair_6/8/1149.png,6_9_8_1149,['office work'],"[""The chair has a backrest, armrests, and rolling wheels, suggesting it's designed for sitting at a desk or table."", ""The chair's height and upright design are suitable for office tasks."", 'The chair does not have features like a reclining mechanism, rocking motion, or extra padding associated with lounging or gaming chairs.']",HSimgs/Nigeria/a chair_1.png
6,a chair,8,A photo of a chair in Nigeria,9,"What function does the chair appear to be designed for (e.g., dining, office work, lounging)?","['office work', 'reclining', 'rocking', 'gaming', 'dining', 'waiting room seating', 'lounging', 'None of the above']",gs://fluxgen162/chair_6/8_a chair in Nigeria/175.png,6_9_8_175,['lounging'],"['The chair has a large, cushioned seat and back, suggesting it is designed for comfort.', 'The chair has armrests, further indicating its purpose for relaxation.', ""The chair's ornate style and decorative fabric suggest it is meant for a leisurely setting rather than a functional one like an office or dining room.""]",HSimgs/Nigeria/a chair_2.png
