concept_id,concept,prompt_id,prompt,question_id,question,attribute_values,local_imagepath,custom_id,answer,reasoning_steps,new_image_path
10,a plate of food,91,A photo of a plate of food in Philippines,15,Are there any recognizable brand-name products on the plate?,"['yes', 'no', 'None of the above']",gs://subgeodeanon_lim5/plate of food_10/91/44.png,10_15_91_44,['no'],"['The image shows a plate with leftover food, including rice, a fried egg, and chicken bones.', 'There are no visible brand names or logos on the plate, the food, or the utensils.']",HSimgs/Philippines/a plate of food_0.png
10,a plate of food,91,A photo of a plate of food in Philippines,15,Are there any recognizable brand-name products on the plate?,"['yes', 'no', 'None of the above']",gs://fluxgen/plate of food_10/91_a plate of food in Philippines/125.png,10_15_91_125,['no'],"['The image shows a plate of food with noodles and fish cakes.', 'There are no visible brand names or logos on the plate or the food items.', 'Therefore, there are no recognizable brand-name products on the plate.']",HSimgs/Philippines/a plate of food_1.png
10,a plate of food,91,A photo of a plate of food in Philippines,13,"What type of food is on the plate (e.g., fruit, vegetables, meat, grains, processed food)?","['fruit', 'vegetables', 'meat', 'grains', 'processed food', 'dairy', 'baked goods', 'confectionery', 'seafood', 'nuts', 'eggs', 'None of the above']",gs://stabdiff3m/plate of food_10/91_a plate of food in Philippines/4.png,10_13_91_4,"['meat', 'grains']","['The dish contains a portion of cooked meat in a sauce.', 'There is also a serving of cooked grains, likely rice, that appears to be yellow from spices or other ingredients.']",HSimgs/Philippines/a plate of food_2.png
10,a plate of food,91,A photo of a plate of food in Philippines,19,Does the food appear fresh or processed?,"['fresh', 'processed', 'None of the above']",gs://fluxgen/plate of food_10/91_a plate of food in Philippines/7.png,10_19_91_7,['fresh'],"['The beans appear to be fresh, as they have a natural color and texture.', 'The small orange pieces mixed with the beans also appear fresh.', 'The green herbs sprinkled on top of the beans look fresh.', 'The sauce in the small bowl appears to be freshly made, possibly a homemade sauce.', 'The slices of bread have a slightly browned and crisp texture, suggesting they might have been toasted or freshly baked.']",HSimgs/Philippines/a plate of food_3.png
30,a dog,145,A photo of a dog in Philippines,57,What is the dog's coat color?,"['gray', 'black', 'brown', 'blue', 'sable', 'red', 'cream', 'golden', 'white', 'None of the above']",gs://stabdiff3m145/dog_30/145_a dog in Philippines/88.png,30_57_145_88,"['golden', 'black', 'white']","[""The dog's coat has a mix of colors including light brown/tan, dark brown/black, and white."", 'The light brown/tan color can be described as golden.', 'The dark brown/black color can be described as black.', 'The dog also has white markings.']",HSimgs/Philippines/a dog_0.png
30,a dog,145,A photo of a dog in Philippines,62,"What is the dog's posture (standing, sitting, lying down)?","['standing', 'sitting', 'lying down', 'None of the above']",gs://stabdiff21145/dog_30/145_a dog in Philippines/87.png,30_62_145_87,['standing'],"[""The dog's legs are straight and it is on all fours."", 'This indicates that the dog is standing.']",HSimgs/Philippines/a dog_1.png
30,a dog,145,A photo of a dog in Philippines,60,"What is the dog's apparent age - puppy, adult, or senior?","['puppy', 'adult', 'senior', 'None of the above']",gs://fluxgen145/dog_30/145_a dog in Philippines/125.png,30_60_145_125,['adult'],"['The dog in the image appears to be fully grown, with adult features and proportions.', 'Its coat is smooth and well-maintained, and its eyes are clear and bright.', 'There are no visible signs of aging, such as graying fur or cloudy eyes.', ""The dog's playful expression and open mouth suggest a youthful energy, but not the boundless exuberance of a puppy.""]",HSimgs/Philippines/a dog_2.png
30,a dog,145,A photo of a dog in Philippines,57,What is the dog's coat color?,"['gray', 'black', 'brown', 'blue', 'sable', 'red', 'cream', 'golden', 'white', 'None of the above']",gs://stabdiff3m145/dog_30/145_a dog in Philippines/78.png,30_57_145_78,['golden'],"[""The dog's coat is a light yellowish-brown color."", 'Golden is the closest descriptor among the available options.']",HSimgs/Philippines/a dog_3.png
38,a storefront,154,A photo of a storefront in Philippines,67,What colors are prominent on the storefront's exterior?,"['pink', 'gray', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'orange', 'None of the above']",gs://stabdiff3m/storefront_38/154_a storefront in Philippines/122.png,38_67_154_122,"['orange', 'green', 'white', 'blue', 'gray']","['The storefront awning has orange and green sections.', ""The sign's background is white with blue lettering."", 'The rolling metal door appears gray.']",HSimgs/Philippines/a storefront_0.png
38,a storefront,154,A photo of a storefront in Philippines,63,"What type of business does the storefront represent (e.g., restaurant, clothing store, bookstore)?","['restaurant', 'clothing store', 'bookstore', 'grocery store', 'pharmacy', 'bank', 'coffee shop', 'bar', 'salon', 'gift shop', 'electronics store', 'furniture store', 'jewelry store', 'art gallery', 'music store', 'sporting goods store', 'hardware store', 'pet store', 'toy store', 'dry cleaner', 'real estate office', 'travel agency', 'movie theater', 'gym', 'hotel', 'None of the above']",gs://fluxgen/storefront_38/154_a storefront in Philippines/248.png,38_63_154_248,['gift shop'],"['The image shows a storefront with various items displayed on shelves and tables.', 'The items include pottery, plants, baskets, and other decorative objects.', 'These items suggest that the store sells gifts or home goods.', 'The overall aesthetic of the store is not indicative of any other specific business type listed in the categories.']",HSimgs/Philippines/a storefront_1.png
