concept_id,concept,prompt_id,prompt,question_id,question,attribute_values,local_imagepath,custom_id,answer,reasoning_steps,new_image_path
6,a chair,87,A photo of a chair in United States of America,9,"What function does the chair appear to be designed for (e.g., dining, office work, lounging)?","['office work', 'reclining', 'rocking', 'gaming', 'dining', 'waiting room seating', 'lounging', 'None of the above']",gs://fluxgen162/chair_6/87_a chair in United States of America/217.png,6_9_87_217,['lounging'],"['The chair has a high back and winged sides, suggesting it is designed for comfort and relaxation.', ""The chair's ornate style and plush upholstery further support the idea that it is meant for leisurely sitting rather than practical tasks like dining or office work.""]",HSimgs/United States of America/a chair_0.png
6,a chair,87,A photo of a chair in United States of America,9,"What function does the chair appear to be designed for (e.g., dining, office work, lounging)?","['office work', 'reclining', 'rocking', 'gaming', 'dining', 'waiting room seating', 'lounging', 'None of the above']",gs://stabdiff3m162/chair_6/87_a chair in United States of America/64.png,6_9_87_64,"['office work', 'waiting room seating']","[""The chair has a straight back and firm cushioning, suggesting it's designed for upright posture."", 'It has armrests, which are common in chairs meant for tasks or waiting.', ""The chair's height and overall design are not typical of lounging or dining chairs."", 'The chair does not have a reclining or rocking mechanism.']",HSimgs/United States of America/a chair_1.png
6,a chair,87,A photo of a chair in United States of America,9,"What function does the chair appear to be designed for (e.g., dining, office work, lounging)?","['office work', 'reclining', 'rocking', 'gaming', 'dining', 'waiting room seating', 'lounging', 'None of the above']",gs://fluxgen162/chair_6/87_a chair in United States of America/210.png,6_9_87_210,['lounging'],"['The chair has a cushioned seat, back, and armrests.', ""The chair's back is high and slightly reclined."", ""The chair's legs are short and sturdy, not designed for mobility."", ""The chair's overall design suggests comfort and relaxation.""]",HSimgs/United States of America/a chair_2.png
6,a chair,87,A photo of a chair in United States of America,11,Does the chair have a back?,"['yes', 'no', 'None of the above']",gs://stabdiff21162/chair_6/87_a chair in United States of America/74.png,6_11_87_74,['yes'],"['The image shows a chair with a vertical section that rises from the seat.', ""This vertical section is designed to support the user's back.""]",HSimgs/United States of America/a chair_3.png
12,a stove,105,A photo of a stove in United States of America,22,How many burners or cooking elements are visible on the stove?,"['0', '1', '2', '3', '4', '5', '6', 'None of the above']",gs://fluxgen145/stove_12/105_a stove in United States of America/215.png,12_22_105_215,['6'],"['The stovetop has four gas burners arranged in a square.', 'There are also two additional cooking elements in the oven compartment, visible through the glass window.']",HSimgs/United States of America/a stove_0.png
12,a stove,105,A photo of a stove in United States of America,26,Is the stove built-in or freestanding?,"['built-in', 'freestanding', 'None of the above']",gs://fluxgen145/stove_12/105_a stove in United States of America/21.png,12_26_105_21,['freestanding'],"['The stove has finished sides and stands on legs, separate from the surrounding cabinetry.', 'This indicates it is not integrated into the kitchen units.']",HSimgs/United States of America/a stove_1.png
12,a stove,105,A photo of a stove in United States of America,21,"What is the material of the stovetop (e.g., stainless steel, ceramic, cast iron)?","['stainless steel', 'enameled steel', 'glass', 'ceramic', 'cast iron', 'copper', 'None of the above']",gs://stabdiff3m145/stove_12/105_a stove in United States of America/95.png,12_21_105_95,['stainless steel'],"['The stovetop has a smooth, shiny surface and a dark gray/black color.', 'The knobs and the oven door handle are also silver-colored and appear to be made of the same material as the stovetop.', 'These visual characteristics suggest that the stovetop is made of stainless steel.']",HSimgs/United States of America/a stove_2.png
12,a stove,105,A photo of a stove in United States of America,21,"What is the material of the stovetop (e.g., stainless steel, ceramic, cast iron)?","['stainless steel', 'enameled steel', 'glass', 'ceramic', 'cast iron', 'copper', 'None of the above']",gs://fluxgen145/stove_12/105_a stove in United States of America/65.png,12_21_105_65,['enameled steel'],"['The stovetop appears to have a smooth, light-colored surface.', ""The material doesn't have the characteristic shine of stainless steel."", ""It's not glass or ceramic, as those materials would be more fragile and prone to cracking under high heat."", 'The overall appearance suggests an older, possibly vintage stove.', 'Enameled steel was a common material for stovetops in older stoves, providing a durable and easy-to-clean surface.']",HSimgs/United States of America/a stove_3.png
30,a dog,150,A photo of a dog in United States of America,61,"Are the dog's ears pointed, floppy, or cropped?","['pointed', 'floppy', 'cropped', 'None of the above']",gs://stabdiff21145/dog_30/150_a dog in United States of America/151.png,30_61_150_151,['pointed'],"[""The dog's ears are standing upright and have a pointed tip."", 'Pointed ears are characterized by their upright and triangular shape.']",HSimgs/United States of America/a dog_0.png
30,a dog,150,A photo of a dog in United States of America,61,"Are the dog's ears pointed, floppy, or cropped?","['pointed', 'floppy', 'cropped', 'None of the above']",gs://stabdiff3m145/dog_30/150_a dog in United States of America/84.png,30_61_150_84,['floppy'],"[""The dog's ears are folded over, not standing upright or cut short.""]",HSimgs/United States of America/a dog_1.png
30,a dog,150,A photo of a dog in United States of America,60,"What is the dog's apparent age - puppy, adult, or senior?","['puppy', 'adult', 'senior', 'None of the above']",gs://stabdiff21145/dog_30/150_a dog in United States of America/128.png,30_60_150_128,['adult'],"['The dog in the image appears to be fully grown, with adult features and proportions.', 'Its coat is smooth and well-maintained, and there are no visible signs of aging such as graying fur or decreased muscle mass.']",HSimgs/United States of America/a dog_2.png
30,a dog,150,A photo of a dog in United States of America,57,What is the dog's coat color?,"['gray', 'black', 'brown', 'blue', 'sable', 'red', 'cream', 'golden', 'white', 'None of the above']",gs://fluxgen145/dog_30/150_a dog in United States of America/97.png,30_57_150_97,['golden'],"[""The dog's coat is a light yellowish-brown color."", 'Golden is the closest descriptor among the options provided.']",HSimgs/United States of America/a dog_3.png
23,a house,123,A photo of a house in United States of America,38,How is the area immediately surrounding the house landscaped?,"['garden', 'lawn', 'water feature', 'rocks', 'gravel', 'paved', 'mulch', 'None of the above']",gs://stabdiff21/house_23/123_a house in United States of America/34.png,23_38_123_34,"['garden', 'lawn']","['The image shows a lawn in front of the house.', 'There are shrubs and other plants around the porch and along the sides of the house, suggesting a garden.', 'There are no visible water features, rocks, gravel, or paved areas in the immediate vicinity of the house.', 'There is no mulch visible in the image.']",HSimgs/United States of America/a house_0.png
23,a house,123,A photo of a house in United States of America,42,Are there any balconies or porches visible?,"['yes', 'no', 'None of the above']",gs://stabdiff3m/house_23/123_a house in United States of America/87.png,23_42_123_87,['yes'],"['The image shows a house with a porch in the front.', 'A porch is a covered area attached to the front of a house.']",HSimgs/United States of America/a house_1.png
23,a house,123,A photo of a house in United States of America,41,Does the house have a chimney?,"['yes', 'no', 'None of the above']",gs://stabdiff21/house_23/123_a house in United States of America/25.png,23_41_123_25,['yes'],['The image clearly shows a chimney on the roof of the house.'],HSimgs/United States of America/a house_2.png
23,a house,123,A photo of a house in United States of America,35,What type of house is shown?,"['mobile home', 'ranch style house', 'bungalow', 'split-level house', 'farmhouse', 'single-family home', 'mansion', 'victorian house', 'a-frame house', 'colonial house', 'cabin', 'cottage', 'condominium', 'traditional', 'None of the above']",gs://stabdiff3m/house_23/123_a house in United States of America/239.png,23_35_123_239,"['bungalow', 'single-family home', 'traditional']","['The house has a low-pitched roof, large covered porch, and simple design.', 'These are all characteristic features of a bungalow.']",HSimgs/United States of America/a house_3.png
0,a bag,78,A photo of a bag in United States of America,5,"What is the approximate shape of the bag (e.g., square, rectangular, round)?","['crescent', 'round', 'triangular', 'square', 'rectangular', 'trapezoidal', 'None of the above']",gs://fluxgen162/bag_0/78_a bag in United States of America/224.png,0_5_78_224,['rectangular'],"['The bag has four sides.', 'The top and bottom sides are roughly parallel.', 'The left and right sides are roughly parallel.', ""The bag's height is slightly less than its width and length, giving it a somewhat cuboidal shape."", ""A rectangular shape is a 2D shape, while the bag is 3D. However, 'rectangular' best describes the general shape of the bag when viewed from the front.""]",HSimgs/United States of America/a bag_0.png
0,a bag,78,A photo of a bag in United States of America,1,"What material is the bag made of (e.g., leather, canvas, plastic)?","['canvas', 'wicker', 'faux leather', 'suede', 'nylon', 'straw', 'denim', 'leather', 'paper', 'jute', 'plastic', 'burlap', 'None of the above']",gs://stabdiff21162/bag_0/78_a bag in United States of America/19.png,0_1_78_19,"['canvas', 'leather']","['The bag appears to have a woven texture, which is characteristic of canvas.', 'The handles and straps are made of a different material, which looks like leather.', 'The main body of the bag is made of canvas.']",HSimgs/United States of America/a bag_1.png
