concept_id,concept,prompt_id,prompt,question_id,question,attribute_values,local_imagepath,custom_id,answer,reasoning_steps,new_image_path
10,a plate of food,16,A photo of a plate of food in Turkey,15,Are there any recognizable brand-name products on the plate?,"['yes', 'no', 'None of the above']",gs://stabdiff3m/plate of food_10/16_a plate of food in Turkey/116.png,10_15_16_116,['no'],"['The image shows a plate of food with various items, including fried food, vegetables, and a stew-like dish.', 'There are no visible labels or packaging on the plate to suggest the presence of any brand-name products.']",HSimgs/Turkey/a plate of food_0.png
10,a plate of food,16,A photo of a plate of food in Turkey,18,"What kind of utensils are visible (e.g., plastic forks, metal silverware)?","['chopsticks', 'forks', 'knives', 'spoons', 'None of the above']",gs://stabdiff3m/plate of food_10/16_a plate of food in Turkey/203.png,10_18_16_203,"['forks', 'spoons']","['The image shows two utensils on a red tablecloth, one on each side of a white plate.', 'The utensils appear to be made of metal.', 'The utensil on the left has tines, indicating it is a fork.', 'The utensil on the right has a wide, slightly curved end, indicating it is a spoon, likely a soup spoon.']",HSimgs/Turkey/a plate of food_1.png
10,a plate of food,16,A photo of a plate of food in Turkey,13,"What type of food is on the plate (e.g., fruit, vegetables, meat, grains, processed food)?","['fruit', 'vegetables', 'meat', 'grains', 'processed food', 'dairy', 'baked goods', 'confectionery', 'seafood', 'nuts', 'eggs', 'None of the above']",gs://fluxgen/plate of food_10/16_a plate of food in Turkey/62.png,10_13_16_62,"['seafood', 'fruit', 'vegetables', 'grains', 'baked goods', 'processed food']","[""The plate contains two pieces of what appears to be fish, possibly salmon, which falls under the 'seafood' category."", ""There are also some orange-colored, small, round objects that resemble kumquats or cape gooseberries, which are classified as 'fruit'."", ""Green beans are visible on the plate, which are 'vegetables'."", ""A flatbread is also present, which is a 'baked goods' and also falls under the 'grains' category."", ""There appears to be a sauce on the plate, which could be considered 'processed food' depending on its ingredients.""]",HSimgs/Turkey/a plate of food_2.png
10,a plate of food,16,A photo of a plate of food in Turkey,16,Does the food appear to be homemade or from a restaurant/prepared meal?,"['homemade', 'restaurant/prepared meal', 'None of the above']",gs://fluxgen/plate of food_10/16_a plate of food in Turkey/22.png,10_16_16_22,['homemade'],"['The image presents a plated meal consisting of a seasoned, pan-fried or baked piece of meat or meat substitute, French fries, a small bowl of what appears to be chimichurri sauce, and cherry tomatoes.', 'The plating is aesthetically arranged, suggesting an effort to present the food attractively.', 'The meal includes fresh ingredients like the cherry tomatoes and herbs sprinkled on the meat.', 'The overall composition and presentation of the food, including the garnish and the use of a decorative plate, point towards a homemade meal rather than a restaurant or prepared meal.']",HSimgs/Turkey/a plate of food_3.png
12,a stove,23,A photo of a stove in Turkey,22,How many burners or cooking elements are visible on the stove?,"['0', '1', '2', '3', '4', '5', '6', 'None of the above']",gs://stabdiff21145/stove_12/23_a stove in Turkey/209.png,12_22_23_209,['0'],"['The image shows a wood-burning stove with a fire burning inside.', 'The stove has a flat top surface with knobs, but no visible burners or cooking elements.']",HSimgs/Turkey/a stove_0.png
12,a stove,23,A photo of a stove in Turkey,25,"Are there any pots, pans, or utensils on the stove?","['yes', 'no', 'None of the above']",gs://stabdiff21145/stove_12/23_a stove in Turkey/119.png,12_25_23_119,['yes'],"['The image shows a stove with a large pot on it.', 'There are no other pots, pans, or utensils visible on the stove.']",HSimgs/Turkey/a stove_1.png
12,a stove,23,A photo of a stove in Turkey,25,"Are there any pots, pans, or utensils on the stove?","['yes', 'no', 'None of the above']",gs://stabdiff21145/stove_12/23_a stove in Turkey/65.png,12_25_23_65,['no'],"['The image shows a stove built into a stone wall.', 'There are no pots, pans, or utensils on the stove.']",HSimgs/Turkey/a stove_2.png
12,a stove,23,A photo of a stove in Turkey,26,Is the stove built-in or freestanding?,"['built-in', 'freestanding', 'None of the above']",gs://stabdiff3m145/stove_12/23_a stove in Turkey/8.png,12_26_23_8,['freestanding'],"['The stove has four legs and is not integrated into the surrounding cabinetry or wall.', 'It can be moved independently.']",HSimgs/Turkey/a stove_3.png
13,a cooking pot,30,A photo of a cooking pot in Turkey,34,Are there any contents inside the cooking pot?,"['yes', 'no', 'None of the above']",gs://fluxgen/cooking pot_13/30_a cooking pot in Turkey/28.png,13_34_30_28,['yes'],"['The image shows a cooking pot with food and garnish inside.', 'Steam is coming out of the pot, indicating that the food is hot.']",HSimgs/Turkey/a cooking pot_0.png
13,a cooking pot,30,A photo of a cooking pot in Turkey,28,"What material is the cooking pot made of (e.g., metal, ceramic, clay)?","['stainless steel', 'ceramic', 'glass', 'cast iron', 'copper', 'aluminum', 'clay', 'None of the above']",gs://stabdiff21/cooking pot_13/30_a cooking pot in Turkey/147.png,13_28_30_147,"['clay', 'ceramic']","['The cooking pot appears to have a rough, porous texture.', ""The color and texture suggest it's not metal or glass."", 'The shape and style are consistent with traditional pottery.', 'The pot looks handmade and rustic.']",HSimgs/Turkey/a cooking pot_1.png
13,a cooking pot,30,A photo of a cooking pot in Turkey,30,Does the cooking pot have a lid?,"['yes', 'no', 'None of the above']",gs://stabdiff3m/cooking pot_13/30_a cooking pot in Turkey/209.png,13_30_30_209,['no'],"['The image shows a cooking pot with food being cooked inside.', 'There is no lid visible on the pot.']",HSimgs/Turkey/a cooking pot_2.png
13,a cooking pot,30,A photo of a cooking pot in Turkey,33,"Is the cooking pot on a heat source (e.g., stovetop, fire)?","['yes', 'no', 'None of the above']",gs://fluxgen/cooking pot_13/30_a cooking pot in Turkey/167.png,13_33_30_167,['yes'],"['The cooking pot is placed on a brick structure.', 'There is steam coming from the food in the pot.', 'The brick structure looks like a simple stove, and the pot is sitting on a metal stand on top of it.']",HSimgs/Turkey/a cooking pot_3.png
27,a car,51,A photo of a car in Turkey,55,Are there any people visible in the car?,"['yes', 'no', 'None of the above']",gs://stabdiff21162/car_27/51_a car in Turkey/105.png,27_55_51_105,['no'],"['The image shows a person standing next to a red car, with their hand on the door.  It appears they are about to enter or exit the vehicle.', 'There are no other people visible inside the car.']",HSimgs/Turkey/a car_0.png
27,a car,51,A photo of a car in Turkey,56,Is the car a convertible?,"['yes', 'no', 'None of the above']",gs://fluxgen162/car_27/51_a car in Turkey/135.png,27_56_51_135,['no'],['The car has a fixed roof so it is not a convertible.'],HSimgs/Turkey/a car_1.png
27,a car,51,A photo of a car in Turkey,54,Does the car have a roof rack or other attachments?,"['yes', 'no', 'None of the above']",gs://fluxgen162/car_27/51_a car in Turkey/14.png,27_54_51_14,['no'],"['The image shows a classic Rolls Royce Silver Spirit parked on a street.', ""There are no visible attachments like a roof rack on the car's roof.""]",HSimgs/Turkey/a car_2.png
27,a car,51,A photo of a car in Turkey,51,What is the color of the car?,"['pink', 'gray', 'silver', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'beige', 'orange', 'None of the above']",gs://stabdiff21162/car_27/51_a car in Turkey/225.png,27_51_51_225,['beige'],"['The car appears to be a light, creamy off-white color.', ""Among the given options, 'beige' is the closest match to this color.""]",HSimgs/Turkey/a car_3.png
23,a house,37,A photo of a house in Turkey,35,What type of house is shown?,"['mobile home', 'ranch style house', 'bungalow', 'split-level house', 'farmhouse', 'single-family home', 'mansion', 'victorian house', 'a-frame house', 'colonial house', 'cabin', 'cottage', 'condominium', 'traditional', 'None of the above']",gs://fluxgen/house_23/37_a house in Turkey/184.png,23_35_37_184,"['cabin', 'cottage', 'single-family home', 'traditional']","['The house appears to be a free-standing structure, suggesting it is not a condominium.', 'It is not a mobile home due to its permanent construction and integration with the landscape.', 'The house has a combination of wood and stone exterior, a sloping roof, and balconies, which are not typical of A-frame houses.', ""The house's architecture doesn't fit the typical Victorian or Colonial styles."", 'While it has some farmhouse elements, the overall design leans more towards a modern cabin or cottage aesthetic.', 'The house is not large enough to be considered a mansion.', ""The house's layout doesn't fit the description of a split-level or ranch-style house."", ""The house is a single dwelling, making 'single-family home' a suitable category."", ""The house's design incorporates traditional elements with a modern twist, making 'traditional' a relevant category."", ""The house's setting in a mountainous area and use of natural materials suggest a cabin or cottage style.""]",HSimgs/Turkey/a house_0.png
23,a house,37,A photo of a house in Turkey,37,"What type of roof does the house have (e.g., gabled, flat, tiled)?","['gabled', 'hipped', 'mansard', 'gambrel', 'flat', 'shed', 'butterfly', 'bonnet', 'pyramid', 'dome', 'combination', 'None of the above']",gs://stabdiff21/house_23/37_a house in Turkey/126.png,23_37_37_126,['flat'],"['The image shows the front of a building with a flat roof.', 'A flat roof is a roof that is almost level in contrast to the many types of sloped roofs. The slope of a roof is properly known as its pitch and flat roofs have up to approximately 10°.']",HSimgs/Turkey/a house_1.png
