concept_id,concept,prompt_id,prompt,question_id,question,attribute_values,local_imagepath,custom_id,answer,reasoning_steps,new_image_path
12,a stove,21,A photo of a stove in United Kingdom,23,Is there a built-in oven beneath the stovetop?,"['yes', 'no', 'None of the above']",gs://stabdiff3m145/stove_12/21_a stove in United Kingdom/64.png,12_23_21_64,['yes'],"['The image shows a stovetop with four burners and control knobs on top of a built-in oven with a glass door and digital controls.', 'The oven is located directly beneath the stovetop and is integrated into the kitchen cabinetry.']",HSimgs/United Kingdom/a stove_0.png
12,a stove,21,A photo of a stove in United Kingdom,25,"Are there any pots, pans, or utensils on the stove?","['yes', 'no', 'None of the above']",gs://stabdiff3m145/stove_12/21_a stove in United Kingdom/25.png,12_25_21_25,['no'],"['The image shows a stove with knobs and a smooth surface on top.', 'There are no pots, pans, or utensils on the stove.']",HSimgs/United Kingdom/a stove_1.png
12,a stove,21,A photo of a stove in United Kingdom,24,Is there a backsplash or hood visible above the stove?,"['yes', 'no', 'None of the above']",gs://stabdiff21145/stove_12/21_a stove in United Kingdom/67.png,12_24_21_67,['no'],"['The image shows a stove placed within a brick enclosure.', 'There is no backsplash or hood visible above the stove.']",HSimgs/United Kingdom/a stove_2.png
12,a stove,21,A photo of a stove in United Kingdom,25,"Are there any pots, pans, or utensils on the stove?","['yes', 'no', 'None of the above']",gs://subgeodeanon_lim5145/stove_12/21/1192.png,12_25_21_1192,['no'],"['The image shows a stovetop with burners, but there are no pots, pans, or utensils present on it.']",HSimgs/United Kingdom/a stove_3.png
38,a storefront,63,A photo of a storefront in United Kingdom,67,What colors are prominent on the storefront's exterior?,"['pink', 'gray', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'orange', 'None of the above']",gs://fluxgen/storefront_38/63_a storefront in United Kingdom/97.png,38_67_63_97,"['blue', 'gold', 'yellow']","[""The storefront's facade is primarily a dark teal or blue-green."", ""The shop's name, 'The Snoot Pass,' is written in gold lettering."", 'The door is a lighter, yellowish color.']",HSimgs/United Kingdom/a storefront_0.png
38,a storefront,63,A photo of a storefront in United Kingdom,67,What colors are prominent on the storefront's exterior?,"['pink', 'gray', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'orange', 'None of the above']",gs://stabdiff3m/storefront_38/63_a storefront in United Kingdom/113.png,38_67_63_113,"['red', 'black', 'gray', 'white']","[""The storefront's most noticeable color is red, used for the awning, window frames, and door frame."", ""The building's facade is a light brownish-gray or beige."", 'The window frames and the base of the storefront are black.', 'Some white is visible around the upper-story windows.']",HSimgs/United Kingdom/a storefront_1.png
38,a storefront,63,A photo of a storefront in United Kingdom,67,What colors are prominent on the storefront's exterior?,"['pink', 'gray', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'orange', 'None of the above']",gs://stabdiff3m/storefront_38/63_a storefront in United Kingdom/120.png,38_67_63_120,"['blue', 'yellow', 'black']","[""The storefront's sign and window frames are predominantly blue."", 'The building behind the storefront is a yellowish-beige color.', 'The base of the storefront and the door frame are black.']",HSimgs/United Kingdom/a storefront_2.png
38,a storefront,63,A photo of a storefront in United Kingdom,67,What colors are prominent on the storefront's exterior?,"['pink', 'gray', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'orange', 'None of the above']",gs://stabdiff3m/storefront_38/63_a storefront in United Kingdom/222.png,38_67_63_222,"['pink', 'brown', 'gold']","[""The storefront's facade is a light pinkish-tan color."", 'The window frames and a post are a dark grayish-brown.', 'The name of the store is in gold lettering.']",HSimgs/United Kingdom/a storefront_3.png
6,a chair,7,A photo of a chair in United Kingdom,6,"What is the primary material of the chair's frame (e.g., wood, metal, plastic)?","['wicker', 'wood', 'bamboo', 'acrylic', 'rattan', 'fiberglass', 'plastic', 'metal', 'None of the above']",gs://fluxgen162/chair_6/7_a chair in United Kingdom/26.png,6_6_7_26,['wood'],"[""The chair's legs and armrests have a smooth, polished finish characteristic of wood."", 'The color and grain patterns visible on these parts also suggest a wooden construction.']",HSimgs/United Kingdom/a chair_0.png
6,a chair,7,A photo of a chair in United Kingdom,11,Does the chair have a back?,"['yes', 'no', 'None of the above']",gs://fluxgen162/chair_6/7_a chair in United Kingdom/147.png,6_11_7_147,['yes'],"['The image shows a chair with a high back and armrests.', 'The back of the chair is clearly visible in the image.']",HSimgs/United Kingdom/a chair_1.png
6,a chair,7,A photo of a chair in United Kingdom,12,How many legs does the chair appear to have?,"['0', '1', '2', '3', '4', '5', 'more than 5', 'None of the above']",gs://stabdiff3m162/chair_6/7_a chair in United Kingdom/11.png,6_12_7_11,['4'],"['The image shows a chair with four legs, one at each corner of the base.']",HSimgs/United Kingdom/a chair_2.png
6,a chair,7,A photo of a chair in United Kingdom,10,Does the chair have arms?,"['yes', 'no', 'None of the above']",gs://stabdiff21162/chair_6/7_a chair in United Kingdom/23.png,6_10_7_23,['yes'],"['The image shows a wooden chair.', 'The chair has two armrests, one on each side.']",HSimgs/United Kingdom/a chair_3.png
27,a car,49,A photo of a car in United Kingdom,52,"What type of wheels does the car have (e.g., spoked, alloy)?","['carbon fiber wheels', 'aluminum wheels', 'steel wheels', 'alloy wheels', 'spoked wheels', 'None of the above']",gs://stabdiff21162/car_27/49_a car in United Kingdom/220.png,27_52_49_220,['steel wheels'],"['The image shows a classic car with simple, non-spoked wheels.', 'The wheels appear to be made of a single piece of metal, without any visible intricate design or openings.', 'Steel wheels are the most common type of wheel for older cars and have a simple, solid design.', 'Alloy wheels are typically more complex and visually distinct, often featuring multiple spokes or intricate patterns.', 'The wheels in the image lack the characteristic features of alloy wheels.']",HSimgs/United Kingdom/a car_0.png
27,a car,49,A photo of a car in United Kingdom,56,Is the car a convertible?,"['yes', 'no', 'None of the above']",gs://stabdiff3m162/car_27/49_a car in United Kingdom/114.png,27_56_49_114,['no'],"['The car has a solid roof.', 'Convertibles have retractable roofs.']",HSimgs/United Kingdom/a car_1.png
