concept_id,concept,prompt_id,prompt,question_id,question,attribute_values,local_imagepath,custom_id,answer,reasoning_steps,new_image_path
10,a plate of food,94,A photo of a plate of food in South Korea,16,Does the food appear to be homemade or from a restaurant/prepared meal?,"['homemade', 'restaurant/prepared meal', 'None of the above']",gs://fluxgen/plate of food_10/94_a plate of food in South Korea/12.png,10_16_94_12,['restaurant/prepared meal'],"['The food is plated in an appetizing way, with a garnish of fresh herbs and shredded carrots.', 'The potatoes appear to be uniformly cut and cooked.', 'The dish includes a variety of components, suggesting more effort than a typical homemade meal.', 'The overall presentation is consistent with restaurant-quality plating.']",HSimgs/South Korea/a plate of food_0.png
10,a plate of food,94,A photo of a plate of food in South Korea,19,Does the food appear fresh or processed?,"['fresh', 'processed', 'None of the above']",gs://stabdiff21/plate of food_10/94_a plate of food in South Korea/112.png,10_19_94_112,['fresh'],"['The image shows various dishes with vegetables and other ingredients.', 'The vegetables appear to be recently prepared and not heavily processed.', 'There are fresh greens, vibrant colors, and textures suggesting minimal processing.']",HSimgs/South Korea/a plate of food_1.png
10,a plate of food,94,A photo of a plate of food in South Korea,17,"What kind of plate is the food served on (e.g., fine china, plastic, paper)?","['paper plate', 'ceramic plate', 'metal plate', 'wooden plate', 'glass plate', 'plastic plate', 'None of the above']",gs://stabdiff3m/plate of food_10/94_a plate of food in South Korea/157.png,10_17_94_157,['ceramic plate'],"['The plate has a smooth, white surface, and appears to have some weight to it.', 'The edges of the plate are slightly curved and have a defined shape.', ""The plate's appearance suggests it is made of a solid material, likely ceramic.""]",HSimgs/South Korea/a plate of food_2.png
10,a plate of food,94,A photo of a plate of food in South Korea,17,"What kind of plate is the food served on (e.g., fine china, plastic, paper)?","['paper plate', 'ceramic plate', 'metal plate', 'wooden plate', 'glass plate', 'plastic plate', 'None of the above']",gs://stabdiff3m/plate of food_10/94_a plate of food in South Korea/88.png,10_17_94_88,['ceramic plate'],"['The plate has a matte finish and an uneven, slightly raised edge.', 'The plate appears to be sturdy and reusable.']",HSimgs/South Korea/a plate of food_3.png
23,a house,121,A photo of a house in South Korea,35,What type of house is shown?,"['mobile home', 'ranch style house', 'bungalow', 'split-level house', 'farmhouse', 'single-family home', 'mansion', 'victorian house', 'a-frame house', 'colonial house', 'cabin', 'cottage', 'condominium', 'traditional', 'None of the above']",gs://stabdiff3m/house_23/121_a house in South Korea/227.png,23_35_121_227,"['traditional', 'single-family home']","['The image shows a two-story house with a distinct East Asian architectural style.', 'The roof is characterized by its curved edges and dark tiles.', 'The exterior walls are white with dark wood trim around the windows and doors.', 'The windows have a traditional Japanese lattice design.', 'The entrance features large wooden sliding doors and a set of steps leading up to it.']",HSimgs/South Korea/a house_0.png
23,a house,121,A photo of a house in South Korea,35,What type of house is shown?,"['mobile home', 'ranch style house', 'bungalow', 'split-level house', 'farmhouse', 'single-family home', 'mansion', 'victorian house', 'a-frame house', 'colonial house', 'cabin', 'cottage', 'condominium', 'traditional', 'None of the above']",gs://fluxgen/house_23/121_a house in South Korea/96.png,23_35_121_96,"['traditional', 'single-family home']","['The house has a distinct East Asian architectural style, evident in its tiled roof with upturned eaves and its wooden structural elements.', 'The overall design and features align with traditional East Asian building practices.']",HSimgs/South Korea/a house_1.png
23,a house,121,A photo of a house in South Korea,38,How is the area immediately surrounding the house landscaped?,"['garden', 'lawn', 'water feature', 'rocks', 'gravel', 'paved', 'mulch', 'None of the above']",gs://stabdiff21/house_23/121_a house in South Korea/148.png,23_38_121_148,"['garden', 'rocks', 'paved']","['The image shows a house with a landscaped area in front of it.', 'The area includes a low stone retaining wall.', 'There are some rocks placed along the wall.', 'Several small trees and bushes are planted in front of the wall.', 'A paved path is visible in the bottom right corner of the image.']",HSimgs/South Korea/a house_2.png
23,a house,121,A photo of a house in South Korea,38,How is the area immediately surrounding the house landscaped?,"['garden', 'lawn', 'water feature', 'rocks', 'gravel', 'paved', 'mulch', 'None of the above']",gs://stabdiff3m/house_23/121_a house in South Korea/0.png,23_38_121_0,"['rocks', 'paved', 'garden']","['The image shows a house with a stone and concrete wall at the base.', 'There are some small trees and shrubs around the base of the house.', 'The ground in front of the house is paved.']",HSimgs/South Korea/a house_3.png
0,a bag,76,A photo of a bag in South Korea,4,"What is the context in which the bag is shown (e.g., on someone's shoulder, on the ground, in a store display)?","[""in someone's hand"", 'on a conveyor belt', 'packed in a suitcase', 'on the ground', 'on a table or counter', 'in a closet or wardrobe', ""on someone's shoulder"", 'in a store display', 'hanging on a rack or hook', 'None of the above']",gs://fluxgen162/bag_0/76_a bag in South Korea/240.png,0_4_76_240,['in a store display'],"['The bag is shown on a plain, light-colored surface, likely a table or counter used for product photography or display.', ""The bag is positioned upright and centered, suggesting it's part of a presentation or showcase."", 'The background is a neutral gray, typical of studio photography for product displays.']",HSimgs/South Korea/a bag_0.png
0,a bag,76,A photo of a bag in South Korea,3,Are there any logos or brand markings visible on the bag?,"['yes', 'no', 'None of the above']",gs://fluxgen162/bag_0/76_a bag in South Korea/49.png,0_3_76_49,['no'],"['Carefully examine the entire bag, including the front, sides, and straps, for any logos or brand markings.', 'Look for any obvious symbols, names, or initials that could indicate a brand.', 'Check the hardware, such as zippers or buckles, for any subtle branding.']",HSimgs/South Korea/a bag_1.png
0,a bag,76,A photo of a bag in South Korea,0,"What type of bag is shown (e.g., handbag, backpack, tote, duffel bag)?","['gym bag', 'duffel bag', 'laptop bag', 'gift bag', 'messenger bag', 'handbag', 'crossbody bag', 'tote bag', 'briefcase', 'clutch', 'drawstring bag', 'plastic bag', 'waist bag', 'backpack', 'paper bag', 'shopping bag', 'travel bag', 'None of the above']",gs://stabdiff21162/bag_0/76_a bag in South Korea/148.png,0_0_76_148,"['handbag', 'crossbody bag']","['The bag appears to be carried by a single strap over the shoulder.', 'It has a single main compartment and a flap closure.', 'The size and shape are consistent with a handbag or a possible crossbody bag.']",HSimgs/South Korea/a bag_2.png
0,a bag,76,A photo of a bag in South Korea,5,"What is the approximate shape of the bag (e.g., square, rectangular, round)?","['crescent', 'round', 'triangular', 'square', 'rectangular', 'trapezoidal', 'None of the above']",gs://stabdiff21162/bag_0/76_a bag in South Korea/78.png,0_5_76_78,"['rectangular', 'square']","['The image shows a collection of bags displayed on a wall.', 'Most of the bags have a rectangular shape, wider than they are tall.', 'Some bags have a more square shape.']",HSimgs/South Korea/a bag_3.png
13,a cooking pot,112,A photo of a cooking pot in South Korea,33,"Is the cooking pot on a heat source (e.g., stovetop, fire)?","['yes', 'no', 'None of the above']",gs://stabdiff3m/cooking pot_13/112_a cooking pot in South Korea/232.png,13_33_112_232,['no'],"['The cooking pot is sitting on a gray surface that appears to be a small platform or stand.', 'There are no visible flames or heating elements under or around the pot.', ""The platform doesn't resemble a typical stovetop.""]",HSimgs/South Korea/a cooking pot_0.png
13,a cooking pot,112,A photo of a cooking pot in South Korea,31,Are there any handles or grips on the cooking pot?,"['yes', 'no', 'None of the above']",gs://stabdiff21/cooking pot_13/112_a cooking pot in South Korea/228.png,13_31_112_228,['yes'],"['The image shows a large, gray cooking pot with a slightly opened lid.', 'Upon closer inspection, a small handle or grip is visible on the side of the pot.']",HSimgs/South Korea/a cooking pot_1.png
13,a cooking pot,112,A photo of a cooking pot in South Korea,28,"What material is the cooking pot made of (e.g., metal, ceramic, clay)?","['stainless steel', 'ceramic', 'glass', 'cast iron', 'copper', 'aluminum', 'clay', 'None of the above']",gs://stabdiff3m/cooking pot_13/112_a cooking pot in South Korea/25.png,13_28_112_25,['cast iron'],"['The cooking pots appear dark gray or black, heavy, and have a rough texture.', 'These characteristics are consistent with cast iron cookware.']",HSimgs/South Korea/a cooking pot_2.png
13,a cooking pot,112,A photo of a cooking pot in South Korea,28,"What material is the cooking pot made of (e.g., metal, ceramic, clay)?","['stainless steel', 'ceramic', 'glass', 'cast iron', 'copper', 'aluminum', 'clay', 'None of the above']",gs://stabdiff21/cooking pot_13/112_a cooking pot in South Korea/5.png,13_28_112_5,['cast iron'],"['The cooking pots have a rough, dark gray surface.', 'The pots appear thick and heavy, suggesting a durable material.', 'The overall appearance is consistent with cast iron cookware.']",HSimgs/South Korea/a cooking pot_3.png
12,a stove,103,A photo of a stove in South Korea,20,"What type of stove is depicted (e.g., gas, electric, wood-burning)?","['electric stove', 'induction stove', 'gas stove', 'wood-burning stove', 'None of the above']",gs://stabdiff3m145/stove_12/103_a stove in South Korea/208.png,12_20_103_208,['electric stove'],"['The image shows a stove with a circular burner.', 'The burner has a grate-like structure.', ""A round, glowing element is visible within the burner, suggesting it's heated directly."", 'There are no visible flames, which rules out a gas stove.', 'The glowing element and the absence of a smooth, flat surface rule out an induction stove.', 'The overall appearance and the presence of a grate suggest an electric stove.']",HSimgs/South Korea/a stove_0.png
12,a stove,103,A photo of a stove in South Korea,23,Is there a built-in oven beneath the stovetop?,"['yes', 'no', 'None of the above']",gs://fluxgen145/stove_12/103_a stove in South Korea/105.png,12_23_103_105,['yes'],"['The image shows a large stove with a stovetop and two oven doors beneath it.', 'This indicates that there are built-in ovens beneath the stovetop.']",HSimgs/South Korea/a stove_1.png
12,a stove,103,A photo of a stove in South Korea,25,"Are there any pots, pans, or utensils on the stove?","['yes', 'no', 'None of the above']",gs://fluxgen145/stove_12/103_a stove in South Korea/238.png,12_25_103_238,['yes'],"['The image shows a stove with a kettle on top.', 'A kettle is a utensil used for boiling water.']",HSimgs/South Korea/a stove_2.png
12,a stove,103,A photo of a stove in South Korea,23,Is there a built-in oven beneath the stovetop?,"['yes', 'no', 'None of the above']",gs://fluxgen145/stove_12/103_a stove in South Korea/221.png,12_23_103_221,['None of the above'],"['The image shows a fireplace with burning logs.', 'There is no stovetop or oven in the image.']",HSimgs/South Korea/a stove_3.png
38,a storefront,157,A photo of a storefront in South Korea,63,"What type of business does the storefront represent (e.g., restaurant, clothing store, bookstore)?","['restaurant', 'clothing store', 'bookstore', 'grocery store', 'pharmacy', 'bank', 'coffee shop', 'bar', 'salon', 'gift shop', 'electronics store', 'furniture store', 'jewelry store', 'art gallery', 'music store', 'sporting goods store', 'hardware store', 'pet store', 'toy store', 'dry cleaner', 'real estate office', 'travel agency', 'movie theater', 'gym', 'hotel', 'None of the above']",gs://stabdiff3m/storefront_38/157_a storefront in South Korea/49.png,38_63_157_49,['grocery store'],"['The storefront displays a variety of food items, snacks, and household products like toilet paper.', 'These items are typically found in a grocery store.']",HSimgs/South Korea/a storefront_0.png
38,a storefront,157,A photo of a storefront in South Korea,65,What kind of signage is used - traditional hand-painted or modern illuminated?,"['illuminated', 'vinyl lettering', 'printed posters', 'hand-painted', 'chalkboard', 'None of the above']",gs://stabdiff21/storefront_38/157_a storefront in South Korea/32.png,38_65_157_32,"['hand-painted', 'printed posters']","[""The shop's main sign has a textured appearance, suggesting it might be hand-painted."", 'The smaller signs and posters appear weathered and have a vintage aesthetic, which is more consistent with traditional methods.', 'There are no visible light sources within the signs, indicating they are not illuminated.']",HSimgs/South Korea/a storefront_1.png
38,a storefront,157,A photo of a storefront in South Korea,66,Is the storefront part of a larger building or a standalone structure?,"['larger building', 'standalone structure', 'None of the above']",gs://fluxgen/storefront_38/157_a storefront in South Korea/13.png,38_66_157_13,['larger building'],"[""The image shows a storefront integrated into a larger building.  There are windows and architectural details above the storefront that suggest it's part of a multi-story structure."", 'The presence of adjacent walls and shared architectural elements further confirms that the storefront is not a standalone entity.']",HSimgs/South Korea/a storefront_2.png
38,a storefront,157,A photo of a storefront in South Korea,63,"What type of business does the storefront represent (e.g., restaurant, clothing store, bookstore)?","['restaurant', 'clothing store', 'bookstore', 'grocery store', 'pharmacy', 'bank', 'coffee shop', 'bar', 'salon', 'gift shop', 'electronics store', 'furniture store', 'jewelry store', 'art gallery', 'music store', 'sporting goods store', 'hardware store', 'pet store', 'toy store', 'dry cleaner', 'real estate office', 'travel agency', 'movie theater', 'gym', 'hotel', 'None of the above']",gs://fluxgen/storefront_38/157_a storefront in South Korea/53.png,38_63_157_53,"['gift shop', 'grocery store']","['The image shows a storefront with shelves filled with various items, including what appears to be food items, dishware, and other household goods.', 'There are also decorative items and plants displayed throughout the store.', 'The overall aesthetic suggests a curated selection of goods, possibly for home use or gifting.']",HSimgs/South Korea/a storefront_3.png
27,a car,139,A photo of a car in South Korea,53,"What type of car is visible (e.g., sedan, coupe, SUV, truck)?","['suv', 'sedan', 'truck', 'coupe', 'convertible', 'hatchback', 'station wagon', 'minivan', 'None of the above']",gs://stabdiff21162/car_27/139_a car in South Korea/92.png,27_53_139_92,['sedan'],"['The car has four doors and a separate trunk compartment, which is a characteristic of a sedan.']",HSimgs/South Korea/a car_0.png
27,a car,139,A photo of a car in South Korea,55,Are there any people visible in the car?,"['yes', 'no', 'None of the above']",gs://fluxgen162/car_27/139_a car in South Korea/223.png,27_55_139_223,['no'],"['The image shows the front view of a light blue vintage car parked on a street.', 'The windshield is clear, and there are no visible people inside the car.']",HSimgs/South Korea/a car_1.png
27,a car,139,A photo of a car in South Korea,55,Are there any people visible in the car?,"['yes', 'no', 'None of the above']",gs://stabdiff21162/car_27/139_a car in South Korea/89.png,27_55_139_89,['no'],"['The car windows are tinted and reflective, making it difficult to see inside.', 'There are no clear signs of people inside the car.']",HSimgs/South Korea/a car_2.png
27,a car,139,A photo of a car in South Korea,56,Is the car a convertible?,"['yes', 'no', 'None of the above']",gs://stabdiff21162/car_27/139_a car in South Korea/133.png,27_56_139_133,['no'],"['The image shows a car with a solid roof.', 'Convertibles have retractable roofs.']",HSimgs/South Korea/a car_3.png
