concept_id,concept,prompt_id,prompt,question_id,question,attribute_values,local_imagepath,custom_id,answer,reasoning_steps,new_image_path
13,a cooking pot,108,A photo of a cooking pot in Egypt,29,"What is the shape of the cooking pot (e.g., round, oval, rectangular)?","['square', 'oval', 'round', 'rectangular', 'None of the above']",gs://stabdiff21/cooking pot_13/108_a cooking pot in Egypt/60.png,13_29_108_60,['round'],"['The cooking pot has a circular opening and a spherical body.', 'The overall shape resembles a sphere.']",HSimgs/Egypt/a cooking pot_0.png
13,a cooking pot,108,A photo of a cooking pot in Egypt,28,"What material is the cooking pot made of (e.g., metal, ceramic, clay)?","['stainless steel', 'ceramic', 'glass', 'cast iron', 'copper', 'aluminum', 'clay', 'None of the above']",gs://stabdiff3m/cooking pot_13/108_a cooking pot in Egypt/70.png,13_28_108_70,['cast iron'],"['The cooking pot has a dark gray/black color and a somewhat rough texture.', 'The pot appears to have handles that are attached to the pot itself, suggesting it is made of a sturdy material.', ""The pot's appearance and characteristics are consistent with cast iron cookware.""]",HSimgs/Egypt/a cooking pot_1.png
13,a cooking pot,108,A photo of a cooking pot in Egypt,31,Are there any handles or grips on the cooking pot?,"['yes', 'no', 'None of the above']",gs://stabdiff21/cooking pot_13/108_a cooking pot in Egypt/61.png,13_31_108_61,['no'],"['The image shows a large, round cooking pot made of clay.', 'There are no visible handles or grips on the pot.']",HSimgs/Egypt/a cooking pot_2.png
13,a cooking pot,108,A photo of a cooking pot in Egypt,31,Are there any handles or grips on the cooking pot?,"['yes', 'no', 'None of the above']",gs://stabdiff3m/cooking pot_13/108_a cooking pot in Egypt/139.png,13_31_108_139,['yes'],"['The image shows a large cooking pot with two handles on its sides.', 'The handles are visible and appear to be used for carrying or moving the pot.']",HSimgs/Egypt/a cooking pot_3.png
23,a house,117,A photo of a house in Egypt,41,Does the house have a chimney?,"['yes', 'no', 'None of the above']",gs://stabdiff3m/house_23/117_a house in Egypt/101.png,23_41_117_101,['no'],"['The image shows a structure made of mud bricks, possibly an ancient building or ruin.', 'There is no visible chimney on the roof or any part of the structure.']",HSimgs/Egypt/a house_0.png
23,a house,117,A photo of a house in Egypt,39,Is the house single-story or multi-story?,"['single-story', 'multi-story', 'None of the above']",gs://stabdiff21/house_23/117_a house in Egypt/204.png,23_39_117_204,['single-story'],"['The image shows a house with a door and windows at ground level.', 'There are no visible features suggesting additional stories above the ground level.']",HSimgs/Egypt/a house_1.png
23,a house,117,A photo of a house in Egypt,38,How is the area immediately surrounding the house landscaped?,"['garden', 'lawn', 'water feature', 'rocks', 'gravel', 'paved', 'mulch', 'None of the above']",gs://stabdiff3m/house_23/117_a house in Egypt/95.png,23_38_117_95,['None of the above'],"['The image shows a sandy area in front of the house.', 'There is no vegetation, water, rocks, gravel, or paving visible.', 'The ground appears to be mostly sand or dirt.']",HSimgs/Egypt/a house_2.png
23,a house,117,A photo of a house in Egypt,35,What type of house is shown?,"['mobile home', 'ranch style house', 'bungalow', 'split-level house', 'farmhouse', 'single-family home', 'mansion', 'victorian house', 'a-frame house', 'colonial house', 'cabin', 'cottage', 'condominium', 'traditional', 'None of the above']",gs://stabdiff21/house_23/117_a house in Egypt/69.png,23_35_117_69,['None of the above'],"['The image shows a simple, single-story structure.', 'The structure appears to be made of stucco or similar material.', 'The entrance is decorated with Egyptian-style art and hieroglyphs.', 'This suggests the structure is likely a tomb or shrine, not a typical residential building.']",HSimgs/Egypt/a house_3.png
30,a dog,144,A photo of a dog in Egypt,58,What is the dog's coat pattern?,"['bicolor', 'spotted', 'harlequin', 'tricolor', 'merle', 'sable', 'roan', 'ticked', 'dappled', 'solid', 'brindle', 'None of the above']",gs://stabdiff3m145/dog_30/144_a dog in Egypt/217.png,30_58_144_217,['bicolor'],"[""The dog's coat has two main colors: black and tan. The tan color is present on the dog's legs, chest, and face."", ""The black color is present on the dog's back, ears, and tail.""]",HSimgs/Egypt/a dog_0.png
30,a dog,144,A photo of a dog in Egypt,60,"What is the dog's apparent age - puppy, adult, or senior?","['puppy', 'adult', 'senior', 'None of the above']",gs://stabdiff3m145/dog_30/144_a dog in Egypt/105.png,30_60_144_105,['adult'],"['The dog appears to be fully grown, with adult features and proportions.', 'Its coat is smooth and even, without the fluffiness often seen in puppies.', 'Its expression and posture suggest maturity beyond puppyhood.', 'There are no signs of aging, such as graying fur or decreased muscle tone, that would indicate a senior dog.']",HSimgs/Egypt/a dog_1.png
