concept_id,concept,prompt_id,prompt,question_id,question,attribute_values,local_imagepath,custom_id,answer,reasoning_steps,new_image_path
27,a car,138,A photo of a car in United Arab Emirates,53,"What type of car is visible (e.g., sedan, coupe, SUV, truck)?","['suv', 'sedan', 'truck', 'coupe', 'convertible', 'hatchback', 'station wagon', 'minivan', 'None of the above']",gs://stabdiff21162/car_27/138_a car in United Arab Emirates/145.png,27_53_138_145,['sedan'],"['The car has four doors and a separate trunk compartment, which are characteristic features of a sedan.']",HSimgs/United Arab Emirates/a car_0.png
27,a car,138,A photo of a car in United Arab Emirates,51,What is the color of the car?,"['pink', 'gray', 'silver', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'beige', 'orange', 'None of the above']",gs://fluxgen162/car_27/138_a car in United Arab Emirates/183.png,27_51_138_183,['white'],"['The car appears to be a very light color, almost white.', 'Upon closer inspection, the car is indeed white.']",HSimgs/United Arab Emirates/a car_1.png
27,a car,138,A photo of a car in United Arab Emirates,52,"What type of wheels does the car have (e.g., spoked, alloy)?","['carbon fiber wheels', 'aluminum wheels', 'steel wheels', 'alloy wheels', 'spoked wheels', 'None of the above']",gs://fluxgen162/car_27/138_a car in United Arab Emirates/166.png,27_52_138_166,"['alloy wheels', 'spoked wheels']","[""The car's wheels have multiple spokes radiating from the center."", 'The wheels appear to be made of a metallic material, likely an alloy.']",HSimgs/United Arab Emirates/a car_2.png
27,a car,138,A photo of a car in United Arab Emirates,54,Does the car have a roof rack or other attachments?,"['yes', 'no', 'None of the above']",gs://stabdiff21162/car_27/138_a car in United Arab Emirates/53.png,27_54_138_53,['no'],"['The image shows a blue car in a desert setting.', 'The car appears to be a sedan.', ""There are no visible roof racks or attachments on the car's roof.""]",HSimgs/United Arab Emirates/a car_3.png
13,a cooking pot,111,A photo of a cooking pot in United Arab Emirates,31,Are there any handles or grips on the cooking pot?,"['yes', 'no', 'None of the above']",gs://stabdiff21/cooking pot_13/111_a cooking pot in United Arab Emirates/230.png,13_31_111_230,['no'],"['The image shows a cooking pot with a lid and a wooden knob on top. A wooden spoon is resting on the lid.', 'There are no visible handles or grips on the cooking pot itself.']",HSimgs/United Arab Emirates/a cooking pot_0.png
13,a cooking pot,111,A photo of a cooking pot in United Arab Emirates,34,Are there any contents inside the cooking pot?,"['yes', 'no', 'None of the above']",gs://fluxgen/cooking pot_13/111_a cooking pot in United Arab Emirates/247.png,13_34_111_247,['yes'],"['The image shows a cooking pot with food items in it.', 'The food items include a liquid broth, chunks of carrots, and some green garnish.', 'Therefore, the cooking pot has contents inside it.']",HSimgs/United Arab Emirates/a cooking pot_1.png
13,a cooking pot,111,A photo of a cooking pot in United Arab Emirates,34,Are there any contents inside the cooking pot?,"['yes', 'no', 'None of the above']",gs://stabdiff3m/cooking pot_13/111_a cooking pot in United Arab Emirates/104.png,13_34_111_104,['yes'],"['The image shows a cooking pot with food inside.', 'The food appears to be a mixture of vegetables and possibly meat or grains.', 'Steam is coming out of the pot, indicating that the food is hot.']",HSimgs/United Arab Emirates/a cooking pot_2.png
13,a cooking pot,111,A photo of a cooking pot in United Arab Emirates,29,"What is the shape of the cooking pot (e.g., round, oval, rectangular)?","['square', 'oval', 'round', 'rectangular', 'None of the above']",gs://stabdiff3m/cooking pot_13/111_a cooking pot in United Arab Emirates/68.png,13_29_111_68,['round'],"['The cooking pot has a circular opening and a circular base.', 'The sides of the pot curve evenly, maintaining a consistent diameter.']",HSimgs/United Arab Emirates/a cooking pot_3.png
23,a house,120,A photo of a house in United Arab Emirates,36,"What is the primary material used for the exterior walls of the house (e.g., brick, wood, stucco)?","['brick', 'wood', 'vinyl siding', 'stone', 'stucco', 'fiber cement siding', 'concrete', 'metal', 'adobe', 'None of the above']",gs://fluxgen/house_23/120_a house in United Arab Emirates/142.png,23_36_120_142,['stucco'],"['The exterior walls of the house appear to have a smooth, light-colored finish.', 'The walls lack the texture of brick or stone.', 'The appearance is consistent with stucco, a common material for achieving this type of finish.']",HSimgs/United Arab Emirates/a house_0.png
23,a house,120,A photo of a house in United Arab Emirates,38,How is the area immediately surrounding the house landscaped?,"['garden', 'lawn', 'water feature', 'rocks', 'gravel', 'paved', 'mulch', 'None of the above']",gs://stabdiff21/house_23/120_a house in United Arab Emirates/1.png,23_38_120_1,['None of the above'],"['The area around the house is covered with sand.', 'Sand is neither gravel nor rocks, although it shares some similarities. It is finer than both.']",HSimgs/United Arab Emirates/a house_1.png
