concept_id,concept,prompt_id,prompt,question_id,question,attribute_values,local_imagepath,custom_id,answer,reasoning_steps,new_path
23,a house,36,A photo of a house in Nigeria,39,Is the house single-story or multi-story?,"['single-story', 'multi-story', 'None of the above']",gs://stabdiff3m/house_23/36_a house in Nigeria/170.png,23_39_36_170,['multi-story'],"['The image shows a house with two floors and a balcony on the second floor.', 'A single-story house has only one floor.', 'A multi-story house has more than one floor.']",imgsneurips/0.png
23,a house,116,A photo of a house in Italy,37,"What type of roof does the house have (e.g., gabled, flat, tiled)?","['gabled', 'hipped', 'mansard', 'gambrel', 'flat', 'shed', 'butterfly', 'bonnet', 'pyramid', 'dome', 'combination', 'None of the above']",gs://subgeodeanon_lim5/house_23/116/2.png,23_37_116_2,['gabled'],"['The image shows a house with a sloping roof.', 'The roof has two sloping sides that meet at a central ridge, forming a triangular shape.', 'This roof type is called a gabled roof.']",imgsneurips/1.png
23,a house,39,A photo of a house in Colombia,36,"What is the primary material used for the exterior walls of the house (e.g., brick, wood, stucco)?","['brick', 'wood', 'vinyl siding', 'stone', 'stucco', 'fiber cement siding', 'concrete', 'metal', 'adobe', 'None of the above']",gs://stabdiff3m/house_23/39_a house in Colombia/40.png,23_36_39_40,"['stucco', 'concrete']","['The image shows a house with light blue and cream-colored walls.', 'The walls appear to have a slightly rough texture, which is common for stucco or concrete.', 'The color and texture suggest the walls are not made of brick, wood, vinyl, stone, fiber cement, or metal.', 'The appearance is consistent with stucco or concrete construction.']",imgsneurips/2.png
23,a house,40,A photo of a house in Japan,37,"What type of roof does the house have (e.g., gabled, flat, tiled)?","['gabled', 'hipped', 'mansard', 'gambrel', 'flat', 'shed', 'butterfly', 'bonnet', 'pyramid', 'dome', 'combination', 'None of the above']",gs://stabdiff21/house_23/40_a house in Japan/90.png,23_37_40_90,"['hipped', 'gabled', 'combination']","['The roof has two sloping sides that meet at a central ridge, forming a triangular shape.', 'The roof also has sloping sides on the ends, creating a hip.']",imgsneurips/3.png
23,a house,35,A photo of a house in United Kingdom,39,Is the house single-story or multi-story?,"['single-story', 'multi-story', 'None of the above']",gs://fluxgen/house_23/35_a house in United Kingdom/205.png,23_39_35_205,['multi-story'],"['The house has multiple levels of windows, indicating more than one floor.', 'The roofline and chimneys also suggest multiple stories.']",imgsneurips/4.png
23,a house,116,A photo of a house in Italy,39,Is the house single-story or multi-story?,"['single-story', 'multi-story', 'None of the above']",gs://stabdiff3m/house_23/116_a house in Italy/4.png,23_39_116_4,['single-story'],"['The image shows a house with only one door at ground level.', 'There are no other visible features that suggest additional stories.']",imgsneurips/5.png
23,a house,115,A photo of a house in Spain,41,Does the house have a chimney?,"['yes', 'no', 'None of the above']",gs://stabdiff21/house_23/115_a house in Spain/222.png,23_41_115_222,['yes'],"['The image shows multiple houses on a hillside.', 'Upon closer inspection, a chimney can be seen on the roof of one of the peach-colored houses.']",imgsneurips/6.png
23,a house,35,A photo of a house in United Kingdom,36,"What is the primary material used for the exterior walls of the house (e.g., brick, wood, stucco)?","['brick', 'wood', 'vinyl siding', 'stone', 'stucco', 'fiber cement siding', 'concrete', 'metal', 'adobe', 'None of the above']",gs://stabdiff3m/house_23/35_a house in United Kingdom/115.png,23_36_35_115,['brick'],"['The image clearly shows the exterior walls of the house.', 'The walls are made of reddish-brown rectangular blocks.', 'This material and pattern are characteristic of brick construction.']",imgsneurips/7.png
23,a house,117,A photo of a house in Egypt,38,How is the area immediately surrounding the house landscaped?,"['garden', 'lawn', 'water feature', 'rocks', 'gravel', 'paved', 'mulch', 'None of the above']",gs://fluxgen/house_23/117_a house in Egypt/4.png,23_38_117_4,"['garden', 'gravel', 'paved']","['The area directly surrounding the house includes a variety of landscaping elements.', 'There are bushes, small trees, and other plants indicative of a garden.', 'The ground is covered with gravel or small stones in some areas.', 'A paved walkway leads to the entrance of the house.']",imgsneurips/8.png
23,a house,116,A photo of a house in Italy,36,"What is the primary material used for the exterior walls of the house (e.g., brick, wood, stucco)?","['brick', 'wood', 'vinyl siding', 'stone', 'stucco', 'fiber cement siding', 'concrete', 'metal', 'adobe', 'None of the above']",gs://stabdiff3m/house_23/116_a house in Italy/139.png,23_36_116_139,['stone'],"['The image shows a building with a rough, textured exterior.', ""The wall's material appears to be composed of various stones and rocks cemented together."", 'This suggests the material is stone.']",imgsneurips/9.png
