question,1.20214E+11,gemini,5883a935c0c9a10001df6345,61687ebcd2a35ffb762d1928,mohana,all_answers,majority,type,correct
What type of road or terrain is visible?,['paved road'],['paved road'],['paved road'],['paved road'],['paved road'],,['paved road'],background,1
"What type of roof does the house have (e.g., gabled, flat, tiled)?","['Sloped (gabled, hipped, mansard, gambrel, shed, butterfly, bonnet)']","['Sloped (gabled, hipped, mansard, gambrel, shed, butterfly, bonnet)', 'combination']","['Sloped (gabled, hipped, mansard, gambrel, shed, butterfly, bonnet)']",['Flat'],"['Sloped (gabled, hipped, mansard, gambrel, shed, butterfly, bonnet)']","['Sloped (gabled, hipped, mansard, gambrel, shed, butterfly, bonnet)', 'Flat', 'Dome', 'Pyramid', 'Combination', 'None of these']","['Sloped (gabled, hipped, mansard, gambrel, shed, butterfly, bonnet)']",object,1
Are there any balconies or porches visible?,['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
"Does the imagery suggest a rural, suburban, or urban setting?","['urban', 'suburban']",['suburban'],['suburban'],['suburban'],['suburban'],,['suburban'],background,1
Is the house single-storey or multi-storey?,['multi-storey'],['multi-storey'],['multi-storey'],['multi-storey'],['multi-storey'],"['single-storey', 'multi-storey', 'None of the above']",['multi-storey'],object,1
"Does the imagery suggest a rural, suburban, or urban setting?","['urban', 'suburban']",['suburban'],['suburban'],['urban'],['suburban'],,"['urban', 'suburban']",background,1
"What is the primary material used for the exterior walls of the house (e.g., brick, wood, stucco)?","['Wood', 'Siding (vinyl siding, fiber cement siding)']",['Wood'],['Wood'],"['Siding (vinyl siding, fiber cement siding)']","['Siding (vinyl siding, fiber cement siding)']","['Brick', 'Stone', 'Adobe', 'Wood', 'Siding (vinyl siding, fiber cement siding)', 'Concrete (concrete, stucco)', 'Metal', 'None of these']","['Wood', 'Siding (vinyl siding, fiber cement siding)']",object,1
"Does the imagery suggest a rural, suburban, or urban setting?","['suburban', 'urban']",['suburban'],['suburban'],['suburban'],['suburban'],,['suburban'],background,1
How is the area immediately surrounding the house landscaped?,"['rocks', 'gravel']",['gravel'],"['rocks', 'paved']",['gravel'],['None of the above'],"['garden', 'lawn', 'water feature', 'rocks', 'gravel', 'paved', 'mulch', 'None of the above']",['gravel'],object,1
"What natural features, if any, are visible in the background of the image?",['None of the above'],['only manmade structures'],['None of the above'],['only manmade structures'],['None of the above'],,['None of the above'],background,0
